week,Y0T4,Y5T9,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49,Y50T54,Y55T59,Y60T64,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,7,1,0,1,1,4,6,9,7,15,29,48,63,89,90,132,212,306,403
2,5,1,2,2,4,4,6,3,12,19,32,30,59,77,124,147,195,284,488
3,9,0,0,2,1,2,6,5,5,15,24,47,68,98,111,150,225,338,418
4,5,0,2,0,5,4,3,3,8,17,29,38,56,81,114,145,214,302,454
5,6,1,2,3,5,5,7,7,9,13,24,43,68,89,124,159,219,326,480
6,7,0,0,1,5,2,2,6,10,25,17,44,48,91,144,170,251,318,515
7,7,0,1,0,1,10,4,4,13,21,32,51,67,90,117,152,292,386,557
8,4,0,4,2,5,5,6,9,8,19,27,49,61,96,125,178,256,360,558
9,10,1,1,1,1,1,6,1,5,16,28,44,65,101,123,168,268,352,537
10,10,1,0,0,1,2,2,1,9,20,28,34,63,79,111,154,268,311,455
11,4,0,0,2,2,1,5,10,6,12,25,34,62,92,118,177,247,310,434
12,8,0,2,4,4,4,2,6,6,19,37,51,40,83,109,132,229,285,414
13,2,1,0,1,1,1,8,6,8,15,30,32,59,78,112,139,181,259,360
14,10,0,1,2,3,3,5,4,12,17,28,45,54,68,117,140,206,244,343
15,4,0,0,0,4,4,4,8,10,12,20,40,52,78,97,131,194,250,321
16,8,0,0,1,3,1,5,7,6,18,31,43,40,89,115,130,190,259,338
17,10,1,0,1,2,3,2,3,5,19,23,30,58,86,104,120,184,241,323
18,9,1,0,2,6,4,4,6,11,14,16,34,44,91,111,137,203,251,331
19,4,0,0,1,3,0,5,6,13,21,29,39,49,64,92,123,183,225,304
20,9,0,2,5,6,3,1,7,16,12,35,33,49,80,100,125,161,217,291
21,5,1,1,2,1,3,3,6,10,12,29,43,48,76,87,124,162,230,286
22,6,0,1,3,2,4,1,7,6,18,37,33,51,77,96,116,157,195,289
23,8,0,0,1,4,0,4,10,13,16,20,36,49,73,104,134,185,223,291
24,11,1,1,2,4,2,3,5,4,20,30,29,56,81,116,125,170,221,288
25,3,0,1,3,4,2,5,5,14,13,23,30,59,76,72,131,176,205,278
26,9,2,1,6,0,0,2,4,11,15,29,49,67,82,107,122,153,250,288
27,3,1,0,0,3,5,5,5,8,15,32,43,57,91,113,149,198,249,318
28,4,2,0,3,3,4,2,5,11,21,28,47,47,87,115,144,224,244,367
29,10,2,0,3,3,8,7,7,6,14,42,47,54,89,109,129,199,250,316
30,5,1,0,1,1,6,1,7,5,17,24,41,46,72,122,126,164,235,300
31,6,0,0,0,1,6,6,6,7,18,28,41,49,75,83,114,177,237,286
32,11,1,3,0,1,5,5,10,8,20,22,45,54,66,98,125,189,233,319
33,7,0,0,5,5,5,3,5,9,15,29,34,50,72,91,125,212,236,292
34,5,2,1,2,2,3,3,5,11,22,28,33,52,74,95,145,209,217,243
35,7,0,0,0,5,4,5,9,9,23,36,31,43,79,99,148,196,212,266
36,5,1,1,0,5,1,7,7,7,12,28,37,50,71,101,125,178,249,266
37,10,0,0,1,4,7,4,5,13,17,20,50,52,74,105,143,196,211,276
38,7,0,0,2,1,6,5,4,13,11,27,34,61,76,109,120,183,237,234
39,7,1,2,3,6,3,4,3,3,9,21,33,54,83,103,126,201,226,300
40,10,1,0,6,1,2,3,10,10,25,27,30,66,71,109,126,194,229,315
41,5,0,0,1,5,5,6,6,7,11,31,41,42,66,111,146,186,235,264
42,9,1,0,2,2,2,2,1,9,17,31,37,58,75,113,135,185,239,302
43,6,1,1,1,5,1,5,4,8,17,23,41,56,73,102,133,183,238,305
44,12,0,2,1,4,3,4,3,7,21,33,41,49,88,111,131,216,259,301
45,5,1,1,1,2,2,7,4,10,19,29,34,55,75,99,130,195,219,281
46,8,0,0,0,3,3,6,8,10,14,31,43,52,85,111,123,184,229,289
47,17,0,0,3,3,3,5,6,10,22,27,38,48,59,104,123,196,271,322
48,10,0,0,1,2,5,1,2,8,17,28,40,49,83,122,130,204,236,317
49,9,1,1,2,2,3,7,9,7,12,30,43,59,76,117,141,217,258,313
50,9,1,0,4,5,6,2,3,7,24,26,38,59,87,99,159,187,229,295
51,6,0,1,3,4,7,4,6,5,16,26,45,49,74,110,141,196,221,294
52,10,1,1,1,2,0,5,3,7,24,30,35,60,83,116,137,196,285,298
53,8,1,0,1,2,1,5,4,5,14,30,39,54,81,118,140,199,275,341
