year,week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
2019,9,77,120,151,211,317,481
2019,10,82,113,159,203,289,441
2019,11,76,106,140,205,285,420
2019,12,73,115,152,188,274,375
2019,13,63,121,143,206,261,352
2019,14,68,132,150,217,267,381
2019,15,60,116,141,202,215,352
2019,16,71,100,145,205,262,357
2019,17,72,98,145,189,257,330
2019,18,81,110,133,208,233,353
2019,19,76,112,142,167,234,345
2019,20,74,104,128,191,249,313
2019,21,66,89,139,177,272,355
2019,22,84,123,149,177,233,326
2019,23,70,103,151,193,254,332
2019,24,58,98,147,172,239,286
2019,25,68,117,123,170,232,321
2019,26,76,114,142,183,236,333
2019,27,56,99,158,194,237,342
2019,28,68,116,131,202,227,320
2019,29,65,103,138,166,225,346
2019,30,75,125,142,199,242,335
2019,31,65,100,121,166,206,330
2019,32,67,95,110,160,231,315
2019,33,65,92,134,178,250,282
2019,34,69,102,159,178,248,327
2019,35,83,114,121,184,221,291
2019,36,59,119,153,155,228,314
2019,37,81,114,137,202,243,311
2019,38,66,133,137,176,267,336
2019,39,57,107,139,181,241,348
2019,40,73,109,147,190,241,310
2019,41,58,123,156,202,229,330
2019,42,67,99,146,192,262,354
2019,43,80,119,129,199,261,359
2019,44,75,114,135,210,242,291
2019,45,73,115,155,196,241,349
2019,46,83,126,162,221,249,363
2019,47,64,128,130,188,313,350
2019,48,57,125,162,209,288,365
2019,49,68,114,146,172,250,325
2019,50,86,129,142,210,286,350
2019,51,65,128,169,208,267,381
2019,52,78,113,150,205,282,344
2019,53,0,0,0,0,0,0
year,week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
2020,1,78,104,147,183,252,404
2020,2,63,118,159,185,269,414
2020,3,79,106,137,194,273,449
2020,4,81,136,160,183,279,413
2020,5,82,106,170,199,290,421
2020,6,92,124,168,198,265,378
2020,7,66,112,154,207,266,414
2020,8,72,101,143,197,283,393
2020,9,70,104,134,197,284,395
2020,10,73,101,158,193,262,410
2020,11,67,114,167,210,280,404
2020,12,79,122,185,251,281,442
2020,13,83,145,192,228,313,481
2020,14,109,139,190,294,392,582
2020,15,70,141,183,245,350,490
2020,16,83,125,165,240,321,468
2020,17,60,116,135,201,283,395
2020,18,67,95,125,177,260,398
2020,19,63,110,137,151,243,314
2020,20,53,97,137,171,207,319
2020,21,66,103,132,165,245,329
2020,22,59,89,125,150,214,309
2020,23,57,102,140,149,242,327
2020,24,80,96,143,177,219,286
2020,25,62,102,133,157,225,309
2020,26,64,113,136,181,228,292
2020,27,67,101,142,174,240,289
2020,28,59,98,155,175,203,323
2020,29,58,83,121,190,206,317
2020,30,63,86,133,177,226,301
2020,31,57,104,133,182,273,343
2020,32,58,104,149,175,203,321
2020,33,48,93,142,205,245,331
2020,34,65,99,150,179,234,341
2020,35,69,114,133,166,222,323
2020,36,66,108,129,169,241,291
2020,37,80,106,140,190,259,323
2020,38,70,102,152,194,263,329
2020,39,77,100,129,198,263,306
2020,40,83,116,143,182,234,324
2020,41,68,107,152,202,253,363
2020,42,47,112,159,174,282,378
2020,43,71,125,163,211,317,422
2020,44,91,118,209,242,373,496
2020,45,111,132,255,314,468,595
2020,46,92,168,248,332,500,612
2020,47,92,165,246,368,498,625
2020,48,104,186,243,354,476,588
2020,49,108,159,231,330,505,656
2020,50,97,153,252,375,477,646
2020,51,104,157,257,332,512,649
2020,52,81,198,234,352,475,611
2020,53,87,138,217,314,433,611
year,week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
2021,1,83,138,216,281,384,624
2021,2,93,120,200,261,381,532
2021,3,87,96,190,249,379,579
2021,4,77,119,201,239,310,484
2021,5,87,116,150,201,280,428
2021,6,85,92,168,209,255,419
2021,7,75,92,168,192,246,387
2021,8,79,112,151,189,246,376
2021,9,69,100,153,171,245,373
2021,10,64,133,157,189,251,335
2021,11,75,116,127,177,241,327
2021,12,61,92,165,172,235,380
2021,13,72,106,150,170,244,337
2021,14,80,106,132,193,232,341
2021,15,81,94,154,166,228,353
2021,16,70,112,166,169,229,317
2021,17,75,93,156,191,243,332
2021,18,64,101,166,177,216,302
2021,19,63,100,158,180,211,353
2021,20,63,110,140,168,211,313
2021,21,86,93,134,155,237,307
2021,22,73,112,126,178,227,320
2021,23,41,111,143,149,171,297
2021,24,60,111,133,170,218,315
2021,25,51,96,139,152,182,308
2021,26,57,89,122,152,214,292
2021,27,69,85,125,147,221,282
2021,28,0,0,0,0,0,0
2021,29,0,0,0,0,0,0
2021,30,0,0,0,0,0,0
2021,31,0,0,0,0,0,0
2021,32,0,0,0,0,0,0
2021,33,0,0,0,0,0,0
2021,34,0,0,0,0,0,0
2021,35,0,0,0,0,0,0
2021,36,0,0,0,0,0,0
2021,37,0,0,0,0,0,0
2021,38,0,0,0,0,0,0
2021,39,0,0,0,0,0,0
2021,40,0,0,0,0,0,0
2021,41,0,0,0,0,0,0
2021,42,0,0,0,0,0,0
2021,43,0,0,0,0,0,0
2021,44,0,0,0,0,0,0
2021,45,0,0,0,0,0,0
2021,46,0,0,0,0,0,0
2021,47,0,0,0,0,0,0
2021,48,0,0,0,0,0,0
2021,49,0,0,0,0,0,0
2021,50,0,0,0,0,0,0
2021,51,0,0,0,0,0,0
2021,52,0,0,0,0,0,0
2021,53,0,0,0,0,0,0
