week,Y0T4,Y5T9,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49,Y50T54,Y55T59,Y60T64,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,6,0,1,1,2,8,3,11,9,14,27,38,56,63,115,149,235,327,496
2,8,0,1,4,2,3,6,7,13,13,31,36,43,69,116,154,247,307,481
3,5,1,1,1,3,5,9,10,6,12,20,39,59,83,121,155,216,298,450
4,4,1,0,0,1,2,8,9,12,16,27,40,65,73,114,142,226,232,425
5,5,0,1,1,2,4,0,5,7,12,20,43,49,63,117,141,200,297,430
6,9,1,1,2,4,3,4,9,10,18,23,35,69,80,119,157,200,282,415
7,8,1,0,2,1,3,9,7,7,14,29,44,54,106,110,154,211,277,421
8,8,0,2,3,2,4,3,7,6,14,24,46,63,79,115,156,240,265,441
9,7,0,3,1,3,2,2,8,13,17,31,52,67,85,133,165,228,328,491
10,3,2,0,2,1,6,5,3,11,24,31,38,67,91,110,140,211,318,469
11,8,0,2,2,5,2,2,5,3,19,33,39,47,73,122,157,214,300,449
12,9,1,0,1,1,1,3,10,8,15,30,28,46,79,134,144,210,275,385
13,8,1,1,2,4,2,1,5,8,19,23,37,57,82,100,164,202,258,374
14,5,2,0,1,3,2,1,7,6,10,32,33,62,76,92,159,205,279,364
15,9,1,2,2,0,3,5,1,6,20,33,36,46,73,95,137,210,260,361
16,7,0,0,2,2,2,3,2,13,11,22,52,64,66,125,137,178,221,322
17,3,1,3,2,1,2,4,4,8,14,27,36,56,59,107,140,166,224,290
18,5,1,0,1,4,3,2,4,11,13,19,39,46,84,99,149,169,224,353
19,9,1,1,2,2,1,5,6,6,13,25,40,47,92,97,102,180,240,331
20,6,0,1,3,1,5,7,3,9,16,21,34,60,70,98,122,181,194,286
21,6,1,1,1,3,7,3,5,7,11,24,44,56,56,86,130,183,262,337
22,5,0,0,1,3,3,2,3,11,11,28,33,50,74,111,131,185,226,282
23,5,1,1,1,6,4,3,4,8,20,30,34,55,71,96,146,177,214,302
24,6,0,0,2,1,2,3,9,4,11,19,41,45,58,103,151,174,218,272
25,9,0,0,3,5,0,1,6,10,16,20,51,48,63,102,139,158,214,282
26,7,0,1,3,3,3,3,5,7,18,28,33,41,57,105,135,192,201,339
27,7,3,1,0,7,4,4,4,11,13,30,29,50,71,100,111,180,232,295
28,2,0,1,1,4,4,5,6,13,19,24,32,39,70,103,114,152,224,265
29,5,0,2,2,4,4,4,8,9,15,23,35,53,86,90,133,171,258,321
30,3,0,0,1,5,5,6,6,6,13,26,48,57,81,99,136,191,236,303
31,6,1,1,3,2,4,4,6,9,20,40,47,48,69,110,146,178,247,323
32,5,0,1,1,3,4,0,7,7,16,25,34,50,77,103,159,171,231,328
33,3,0,0,2,2,5,3,5,13,15,31,32,55,81,94,134,180,235,297
34,4,0,1,1,2,0,1,8,10,11,22,36,54,71,115,111,169,232,297
35,6,0,0,1,4,3,5,4,8,21,23,44,46,67,117,158,172,237,290
36,5,0,0,0,2,0,3,11,8,24,28,39,59,60,111,130,169,247,282
37,5,2,0,4,3,3,3,4,9,15,20,33,58,76,112,124,181,250,328
38,3,0,0,2,5,3,4,5,6,23,22,49,55,60,99,106,188,232,315
39,7,1,0,3,3,1,5,4,6,20,32,33,58,72,114,131,193,226,303
40,6,0,0,2,4,4,3,4,5,16,35,38,58,76,100,128,189,263,294
41,14,0,1,0,4,4,6,5,9,10,30,37,54,90,85,132,188,238,326
42,6,0,2,2,5,4,3,7,6,15,30,32,41,67,105,129,207,271,279
43,4,0,2,1,1,6,3,4,4,11,18,34,51,66,98,154,204,265,307
44,7,1,1,2,3,2,2,5,5,12,25,33,54,71,125,144,193,260,327
45,9,0,0,5,0,2,1,7,8,7,33,43,55,82,105,142,188,260,316
46,9,0,0,4,3,6,8,3,12,14,30,48,56,76,105,134,187,239,314
47,8,0,1,4,3,4,3,10,11,10,23,36,52,74,100,144,196,256,345
48,7,4,0,2,2,3,8,1,10,18,19,46,65,71,110,150,221,242,342
49,12,1,1,3,2,5,6,7,17,12,27,46,62,85,103,160,195,278,367
50,8,1,0,3,5,1,3,4,10,18,24,43,50,89,121,137,186,296,357
51,6,0,2,0,1,1,5,4,6,22,36,36,62,62,99,132,230,272,346
52,7,0,1,4,2,3,2,5,7,13,24,40,53,63,119,167,206,271,362
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
