week,Y0T4,Y5T9,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49,Y50T54,Y55T59,Y60T64,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,8,0,0,2,5,5,7,3,4,16,20,44,47,83,123,158,231,365,557
2,4,1,0,2,3,5,3,7,6,16,28,37,58,86,112,159,264,387,553
3,9,0,0,0,1,3,3,7,4,11,33,45,54,93,141,158,251,357,576
4,2,0,1,1,0,4,8,8,6,17,33,34,53,83,128,153,253,352,521
5,8,2,0,0,1,5,5,0,11,14,24,46,58,89,99,151,228,321,502
6,8,1,0,0,1,1,5,6,6,12,29,41,54,87,109,157,237,336,502
7,6,0,1,2,4,2,7,7,9,11,25,43,43,82,114,148,227,284,387
8,9,1,0,2,2,3,4,8,10,20,30,29,50,71,119,145,195,265,420
9,3,0,0,0,0,4,3,2,5,12,39,48,54,79,115,138,208,286,399
10,9,1,0,3,2,2,2,8,7,16,40,38,61,80,103,124,196,292,364
11,4,1,1,1,3,2,4,7,9,13,35,28,55,90,108,147,189,219,346
12,2,0,1,2,3,0,7,3,5,19,21,48,55,63,95,120,200,251,344
13,6,0,1,3,1,2,3,7,7,16,23,38,56,73,99,139,167,235,307
14,11,2,1,1,2,3,4,4,7,19,15,35,61,72,108,140,192,243,314
15,5,1,0,1,3,2,4,3,9,13,26,44,52,80,91,130,176,259,302
16,4,1,1,0,2,3,3,8,9,12,31,42,44,66,115,129,184,227,300
17,7,0,1,3,4,3,2,3,2,10,19,41,56,71,119,126,208,209,339
18,5,1,1,0,2,5,6,6,7,15,27,42,43,72,109,143,181,240,305
19,4,1,2,0,0,2,0,7,14,13,32,46,44,76,111,117,181,245,309
20,6,0,0,3,7,0,2,5,7,13,34,37,50,63,104,130,170,254,322
21,5,1,1,2,4,7,6,5,10,13,24,39,46,70,98,137,191,229,298
22,12,1,0,2,4,3,2,6,5,15,30,36,38,76,115,126,174,202,279
23,6,1,0,0,3,5,3,6,3,25,20,44,52,74,98,113,156,204,295
24,8,0,0,1,1,3,3,7,7,14,24,42,35,82,102,124,162,222,283
25,8,0,0,1,2,2,7,10,10,9,26,38,39,69,95,158,158,244,320
26,8,0,0,0,1,4,2,8,10,19,37,39,40,70,99,127,185,215,302
27,5,0,2,1,1,4,3,6,8,12,15,41,50,79,111,119,177,227,297
28,5,1,0,2,3,9,2,3,10,19,29,25,42,72,117,127,149,218,254
29,11,1,0,0,4,3,11,4,11,14,22,32,55,73,101,123,186,199,301
30,8,0,2,2,3,1,4,9,13,17,24,33,41,71,103,116,169,243,262
31,7,0,2,5,2,3,6,4,3,15,22,39,65,74,84,128,196,263,282
32,4,0,0,2,5,4,3,6,10,14,18,27,50,55,98,135,158,220,290
33,5,0,0,1,2,3,5,5,9,26,25,19,42,68,100,131,174,227,286
34,10,0,1,0,4,5,9,10,15,21,30,47,56,58,103,112,198,234,294
35,6,0,2,4,2,2,9,6,11,19,29,31,51,74,100,126,173,224,295
36,4,1,1,2,1,3,5,8,8,13,29,46,58,77,109,122,169,214,283
37,8,2,0,3,3,3,4,8,3,17,26,51,53,74,105,127,198,223,282
38,4,2,0,5,4,4,3,6,8,11,28,43,67,54,94,158,211,230,333
39,6,1,0,1,3,4,6,5,7,22,26,46,40,78,113,129,188,230,338
40,3,0,0,2,5,7,4,6,8,20,28,33,57,80,111,136,194,259,342
41,7,0,0,2,2,4,3,4,6,13,35,39,54,74,95,136,186,268,340
42,6,0,0,2,4,7,4,8,4,13,38,42,47,57,89,150,186,253,300
43,5,0,0,2,2,4,3,4,12,14,23,32,52,71,122,129,183,227,329
44,9,0,1,2,4,4,7,9,10,11,18,53,50,64,113,105,182,227,284
45,9,2,1,3,3,6,7,6,13,20,28,53,54,66,92,154,176,268,351
46,8,1,1,0,1,5,3,2,8,10,29,53,62,89,96,125,193,255,310
47,10,0,0,3,1,3,1,8,8,15,23,48,44,61,120,170,206,276,321
48,7,0,0,0,3,2,4,8,11,13,35,53,61,84,101,183,215,268,348
49,10,0,2,3,2,3,4,3,12,16,18,47,54,97,115,162,226,295,321
50,12,0,1,1,4,2,2,5,9,16,28,31,58,77,116,156,213,298,328
51,8,0,1,1,4,4,5,9,11,13,30,40,42,87,146,146,246,298,365
52,7,0,0,1,5,5,4,9,5,18,23,39,65,61,121,146,194,291,381
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
