week,Y0T4,Y5T9,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49
1,2,0,0,1,3,4,6,2,7,14
2,6,0,1,0,4,0,4,6,6,18
3,5,1,0,0,2,4,5,11,13,13
4,12,0,1,2,4,2,5,4,13,18
5,8,0,2,1,5,3,3,5,9,18
6,3,0,0,0,3,6,6,8,11,12
7,9,1,1,2,3,3,5,9,10,18
8,4,2,3,3,2,4,2,7,11,12
9,1,2,0,1,1,2,5,7,6,19
10,7,1,0,0,4,0,4,6,6,18
11,7,0,0,3,4,4,5,8,5,13
12,6,0,1,4,2,4,1,5,12,19
13,5,1,0,1,3,6,2,5,10,12
14,4,0,0,2,3,6,2,7,7,13
15,7,1,1,2,1,5,4,11,9,13
16,7,0,0,1,1,4,11,5,7,15
17,5,1,1,1,1,4,4,3,7,15
18,5,1,1,1,5,9,3,6,6,14
19,2,0,0,1,3,4,3,2,9,14
20,12,1,2,0,0,4,6,7,7,15
21,5,0,1,2,0,3,3,5,5,13
22,8,0,1,1,2,0,1,10,8,12
23,4,1,0,1,5,3,4,4,5,19
24,9,1,1,1,3,2,2,6,6,18
25,7,0,0,2,2,3,3,2,8,19
26,14,0,1,0,3,2,5,3,15,18
27,8,0,0,3,4,6,4,0,6,16
28,12,1,0,2,1,11,4,7,11,10
29,6,1,1,0,1,4,8,5,6,14
30,7,0,0,3,3,3,8,5,9,18
31,5,0,0,2,1,9,4,5,7,23
32,7,0,2,4,3,4,6,3,5,20
33,8,2,0,5,2,4,4,4,6,9
34,4,0,0,0,2,0,2,5,11,12
35,3,0,0,2,4,10,4,6,14,15
36,9,0,0,2,3,4,2,5,8,16
37,5,1,1,0,2,5,6,5,8,18
38,10,0,1,2,3,2,0,9,14,13
39,5,0,1,2,3,4,3,5,5,10
40,11,0,3,3,3,2,4,8,7,9
41,9,0,0,2,1,3,1,10,9,16
42,11,0,1,1,3,4,2,5,6,15
43,4,1,0,0,1,4,5,2,6,18
44,5,0,1,0,4,5,3,7,11,19
45,5,0,0,1,4,1,7,7,5,20
46,4,0,1,0,1,2,4,1,10,14
47,3,0,0,1,3,3,3,6,11,12
48,6,1,0,0,3,3,3,8,8,16
49,7,0,1,3,2,6,9,3,7,19
50,5,0,0,0,3,2,2,4,12,13
51,13,1,1,2,5,3,5,5,11,12
52,2,2,1,2,0,9,1,7,8,18
53,0,0,0,0,0,0,0,0,0,0
