week,Y50T54,Y55T59,Y60T64,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,32,48,51,84,138,216,282,384,625
2,30,40,71,93,120,200,261,382,533
3,19,51,64,87,98,190,249,379,579
4,23,47,64,77,119,201,239,310,484
5,21,30,60,87,117,150,201,280,428
6,26,32,71,85,93,168,209,255,419
7,14,35,56,75,92,168,192,246,388
8,19,29,51,79,112,151,190,246,377
9,17,44,60,70,101,154,173,245,373
10,26,40,52,64,133,157,189,252,335
11,25,31,54,76,116,127,177,241,328
12,29,30,49,62,92,166,173,235,381
13,16,38,46,72,109,151,173,244,338
14,29,39,52,80,106,132,193,234,342
15,13,42,57,82,94,155,167,228,353
16,28,28,73,70,114,166,171,230,319
17,24,34,71,75,96,156,192,246,335
18,24,33,50,65,103,167,178,217,305
19,23,45,58,63,100,158,184,211,357
20,24,42,45,64,112,142,171,214,315
21,24,46,48,86,94,135,158,239,312
22,21,39,58,75,113,128,179,229,323
23,24,36,57,42,114,146,149,175,303
24,19,45,55,64,113,136,175,225,318
25,29,43,47,57,105,153,167,192,322
26,23,33,52,65,99,134,164,231,310
27,27,20,61,78,91,130,158,233,296
28,22,33,51,72,109,133,157,219,310
29,22,39,36,66,110,145,179,223,313
30,17,35,44,75,94,128,155,243,289
31,16,28,53,58,85,135,162,206,314
32,23,49,56,73,95,136,180,237,331
33,25,44,42,69,92,115,183,194,323
34,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0
