week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,6,11,20,15,17,25
2,8,10,12,6,17,34
3,6,10,13,15,25,27
4,8,8,14,12,24,22
5,7,9,13,8,28,20
6,6,11,18,19,25,25
7,5,7,10,21,16,36
8,4,10,14,15,23,31
9,5,18,11,13,20,34
10,9,8,6,19,12,24
11,3,9,9,13,17,23
12,8,10,13,13,22,31
13,7,12,12,14,15,26
14,6,8,14,17,25,24
15,4,7,14,20,29,23
16,6,10,11,17,18,26
17,3,6,9,14,17,14
18,6,8,11,11,35,26
19,9,7,14,15,16,17
20,0,7,15,15,16,23
21,6,13,12,13,18,19
22,3,8,3,9,17,19
23,5,5,12,13,10,21
24,7,9,4,13,26,14
25,3,5,6,7,12,19
26,2,9,12,18,17,23
27,3,5,13,12,17,17
28,6,8,9,11,14,24
29,5,8,10,15,17,29
30,8,7,9,10,23,18
31,6,11,8,15,28,24
32,4,9,10,19,17,24
33,3,7,7,17,33,26
34,4,15,13,15,12,31
35,4,9,13,10,14,27
36,6,5,6,11,14,18
37,6,5,17,19,18,14
38,10,9,9,16,13,28
39,6,5,5,17,18,16
40,6,10,13,9,23,27
41,5,14,13,13,16,26
42,7,7,14,12,19,24
43,6,10,10,14,22,22
44,9,3,19,15,25,30
45,12,6,28,14,33,26
46,8,12,12,15,24,37
47,6,8,15,23,29,41
48,6,14,18,25,32,38
49,6,13,23,32,30,53
50,15,7,20,29,27,41
51,6,15,21,33,38,56
52,6,14,20,31,47,62
53,9,10,10,28,36,43
