week,Y0T4,Y5T9,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49
1,4,1,1,4,2,3,0,7,10,12
2,6,0,2,3,2,2,2,8,4,11
3,10,4,3,2,0,3,8,6,7,13
4,5,0,1,2,4,6,4,3,10,12
5,6,0,1,2,2,3,1,9,7,13
6,10,1,1,0,4,4,4,4,4,15
7,8,1,2,0,4,2,2,10,8,14
8,5,4,0,0,3,3,5,0,7,18
9,4,0,0,1,2,6,2,4,8,13
10,7,0,0,2,3,3,3,3,10,10
11,8,0,0,2,0,5,3,7,12,14
12,7,1,1,0,2,2,6,9,6,14
13,6,1,0,2,5,2,4,6,8,14
14,7,0,0,1,3,4,5,8,6,14
15,4,0,1,4,3,4,6,9,6,20
16,7,1,0,3,6,4,1,9,5,17
17,8,1,0,2,2,5,4,7,9,19
18,5,0,0,4,5,2,2,9,4,3
19,5,0,0,1,4,1,3,13,5,13
20,9,1,0,1,3,5,5,4,7,15
21,7,0,0,0,9,1,3,7,8,14
22,5,0,1,1,1,7,1,5,10,10
23,7,1,0,0,1,3,6,8,14,8
24,8,0,2,0,5,3,5,5,5,15
25,7,0,0,0,5,7,1,6,10,23
26,6,1,0,2,3,1,2,7,8,14
27,5,3,1,0,2,5,4,7,6,14
28,7,0,0,1,1,1,2,3,4,11
29,6,0,0,0,3,2,2,6,8,15
30,13,1,0,2,1,3,4,7,5,10
31,3,0,1,3,2,6,5,5,6,16
32,7,0,0,4,3,4,8,7,6,16
33,2,0,0,3,6,6,3,3,6,17
34,5,0,1,3,2,3,4,9,6,14
35,6,0,0,1,3,2,2,3,9,9
36,11,1,3,2,3,3,10,8,5,12
37,5,1,2,3,4,2,6,3,7,8
38,8,0,0,2,2,5,4,7,7,11
39,12,0,1,3,5,3,3,7,11,6
40,10,0,0,0,2,5,6,5,11,16
41,6,0,1,1,8,1,2,5,9,24
42,3,1,1,2,1,2,4,5,10,10
43,14,0,0,3,2,3,5,6,7,15
44,11,1,1,2,2,1,5,3,10,19
45,9,3,2,0,1,3,3,5,7,25
46,6,0,0,2,2,3,3,6,6,16
47,6,0,3,3,7,0,1,4,6,13
48,4,0,1,2,2,3,4,5,8,14
49,4,0,2,4,3,3,4,6,9,8
50,6,0,0,0,4,2,9,8,8,17
51,3,0,0,0,3,2,6,6,15,16
52,10,0,1,2,2,4,3,5,3,12
53,5,0,0,3,4,6,4,5,8,14
