week,Y0T4,Y5T9,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49
1,8,0,0,2,5,5,7,3,4,16
2,4,1,0,2,3,5,3,7,6,16
3,9,0,0,0,1,3,3,7,4,11
4,2,0,1,1,0,4,8,8,6,17
5,8,2,0,0,1,5,5,0,11,14
6,8,1,0,0,1,1,5,6,6,12
7,6,0,1,2,4,2,7,7,9,11
8,9,1,0,2,2,3,4,8,10,20
9,3,0,0,0,0,4,3,2,5,12
10,9,1,0,3,2,2,2,8,7,16
11,4,1,1,1,3,2,4,7,9,13
12,2,0,1,2,3,0,7,3,5,19
13,6,0,1,3,1,2,3,7,7,16
14,11,2,1,1,2,3,4,4,7,19
15,5,1,0,1,3,2,4,3,9,13
16,4,1,1,0,2,3,3,8,9,12
17,7,0,1,3,4,3,2,3,2,10
18,5,1,1,0,2,5,6,6,7,15
19,4,1,2,0,0,2,0,7,14,13
20,6,0,0,3,7,0,2,5,7,13
21,5,1,1,2,4,7,6,5,10,13
22,12,1,0,2,4,3,2,6,5,15
23,6,1,0,0,3,5,3,6,3,25
24,8,0,0,1,1,3,3,7,7,14
25,8,0,0,1,2,2,7,10,10,9
26,8,0,0,0,1,4,2,8,10,19
27,5,0,2,1,1,4,3,6,8,12
28,5,1,0,2,3,9,2,3,10,19
29,11,1,0,0,4,3,11,4,11,14
30,8,0,2,2,3,1,4,9,13,17
31,7,0,2,5,2,3,6,4,3,15
32,4,0,0,2,5,4,3,6,10,14
33,5,0,0,1,2,3,5,5,9,26
34,10,0,1,0,4,5,9,10,15,21
35,6,0,2,4,2,2,9,6,11,19
36,4,1,1,2,1,3,5,8,8,13
37,8,2,0,3,3,3,4,8,3,17
38,4,2,0,5,4,4,3,6,8,11
39,6,1,0,1,3,4,6,5,7,22
40,3,0,0,2,5,7,4,6,8,20
41,7,0,0,2,2,4,3,4,6,13
42,6,0,0,2,4,7,4,8,4,13
43,5,0,0,2,2,4,3,4,12,14
44,9,0,1,2,4,4,7,9,10,11
45,9,2,1,3,3,6,7,6,13,20
46,8,1,1,0,1,5,3,2,8,10
47,10,0,0,3,1,3,1,8,8,15
48,7,0,0,0,3,2,4,8,11,13
49,10,0,2,3,2,3,4,3,12,16
50,12,0,1,1,4,2,2,5,9,16
51,8,0,1,1,4,4,5,9,11,13
52,7,0,0,1,5,5,4,9,5,18
53,0,0,0,0,0,0,0,0,0,0
