week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,6,7,6,15,25,48
2,9,8,17,15,28,55
3,15,11,15,26,25,52
4,7,13,8,17,23,61
5,11,5,7,10,20,49
6,4,7,13,14,25,40
7,5,8,10,20,25,29
8,5,9,13,20,19,45
9,10,16,11,16,29,34
10,4,10,11,9,29,35
11,14,8,9,16,15,26
12,9,8,9,20,27,34
13,4,12,15,13,16,26
14,5,5,8,11,21,23
15,12,11,13,21,15,33
16,6,10,11,15,18,30
17,5,17,15,17,18,40
18,7,11,5,8,17,35
19,12,6,9,17,24,21
20,6,15,12,18,20,31
21,7,8,3,19,18,31
22,6,12,7,18,24,37
23,7,9,13,6,19,35
24,4,8,11,9,19,24
25,2,6,15,22,22,31
26,5,8,14,17,20,27
27,7,12,9,13,15,18
28,7,10,7,13,19,23
29,7,7,12,16,19,22
30,4,9,6,15,22,31
31,9,10,11,11,26,24
32,6,6,15,7,20,19
33,7,4,8,7,32,23
34,3,5,8,12,21,27
35,13,11,11,11,12,29
36,4,7,10,14,13,23
37,2,18,11,12,21,20
38,7,9,12,27,18,32
39,5,12,14,16,16,25
40,6,6,10,13,24,39
41,6,8,11,15,14,27
42,3,5,15,10,24,26
43,6,12,11,11,21,33
44,6,10,4,12,20,28
45,6,8,8,18,24,32
46,3,5,15,14,20,39
47,6,13,16,6,17,24
48,6,7,16,11,22,35
49,6,12,8,20,20,37
50,6,14,15,20,30,31
51,4,17,19,24,23,28
52,2,12,9,17,22,42
53,0,0,0,0,0,0
