week,Y50T54,Y55T59,Y60T64,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,29,48,63,89,90,132,212,306,403
2,32,30,59,77,124,147,195,284,488
3,24,47,68,98,111,150,225,338,418
4,29,38,56,81,114,145,214,302,454
5,24,43,68,89,124,159,219,326,480
6,17,44,48,91,144,170,251,318,515
7,32,51,67,90,117,152,292,386,557
8,27,49,61,96,125,178,256,360,558
9,28,44,65,101,123,168,268,352,537
10,28,34,63,79,111,154,268,311,455
11,25,34,62,92,118,177,247,310,434
12,37,51,40,83,109,132,229,285,414
13,30,32,59,78,112,139,181,259,360
14,28,45,54,68,117,140,206,244,343
15,20,40,52,78,97,131,194,250,321
16,31,43,40,89,115,130,190,259,338
17,23,30,58,86,104,120,184,241,323
18,16,34,44,91,111,137,203,251,331
19,29,39,49,64,92,123,183,225,304
20,35,33,49,80,100,125,161,217,291
21,29,43,48,76,87,124,162,230,286
22,37,33,51,77,96,116,157,195,289
23,20,36,49,73,104,134,185,223,291
24,30,29,56,81,116,125,170,221,288
25,23,30,59,76,72,131,176,205,278
26,29,49,67,82,107,122,153,250,288
27,32,43,57,91,113,149,198,249,318
28,28,47,47,87,115,144,224,244,367
29,42,47,54,89,109,129,199,250,316
30,24,41,46,72,122,126,164,235,300
31,28,41,49,75,83,114,177,237,286
32,22,45,54,66,98,125,189,233,319
33,29,34,50,72,91,125,212,236,292
34,28,33,52,74,95,145,209,217,243
35,36,31,43,79,99,148,196,212,266
36,28,37,50,71,101,125,178,249,266
37,20,50,52,74,105,143,196,211,276
38,27,34,61,76,109,120,183,237,234
39,21,33,54,83,103,126,201,226,300
40,27,30,66,71,109,126,194,229,315
41,31,41,42,66,111,146,186,235,264
42,31,37,58,75,113,135,185,239,302
43,23,41,56,73,102,133,183,238,305
44,33,41,49,88,111,131,216,259,301
45,29,34,55,75,99,130,195,219,281
46,31,43,52,85,111,123,184,229,289
47,27,38,48,59,104,123,196,271,322
48,28,40,49,83,122,130,204,236,317
49,30,43,59,76,117,141,217,258,313
50,26,38,59,87,99,159,187,229,295
51,26,45,49,74,110,141,196,221,294
52,30,35,60,83,116,137,196,285,298
53,30,39,54,81,118,140,199,275,341
