week,Y50T54,Y55T59,Y60T64,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,30,35,37,78,104,147,183,252,404
2,24,39,55,63,118,159,185,269,414
3,28,38,58,79,106,137,194,273,449
4,32,35,51,81,136,160,183,279,413
5,19,43,52,82,106,170,199,290,421
6,24,43,57,92,124,168,198,265,378
7,16,40,58,66,112,154,207,266,414
8,32,40,63,72,101,143,197,283,393
9,23,43,59,70,104,134,197,284,395
10,28,30,61,73,101,158,193,262,410
11,22,32,49,67,114,167,210,280,404
12,28,40,54,79,122,185,251,281,442
13,26,48,66,83,145,192,228,313,481
14,28,43,54,109,139,190,294,392,582
15,18,37,56,70,141,183,245,350,490
16,30,34,57,83,125,165,240,321,468
17,28,46,56,60,116,135,201,283,395
18,13,36,45,67,95,125,177,260,398
19,26,42,53,63,110,137,151,243,314
20,28,41,50,53,97,137,171,207,319
21,18,35,48,66,103,132,165,245,329
22,21,39,55,59,89,125,150,214,309
23,19,36,51,57,102,140,149,242,327
24,20,45,38,80,96,143,177,219,286
25,15,34,53,62,102,133,157,225,309
26,25,49,48,64,113,136,181,228,292
27,21,49,50,67,101,142,174,240,289
28,33,36,62,59,98,155,175,203,323
29,20,33,44,58,83,121,190,206,317
30,31,34,59,63,86,133,177,226,301
31,31,50,60,57,104,133,182,273,343
32,26,31,50,58,104,149,175,203,321
33,28,37,55,48,93,142,205,245,331
34,25,29,50,65,99,150,179,234,341
35,26,34,51,69,114,133,166,222,323
36,24,35,46,66,108,129,169,241,291
37,25,31,64,80,106,140,190,259,323
38,17,32,38,70,102,152,194,263,329
39,27,39,65,77,100,129,198,263,306
40,16,43,47,83,116,143,182,234,324
41,22,35,75,68,107,152,202,253,363
42,20,37,41,47,112,159,174,282,378
43,27,42,59,71,125,163,211,317,422
44,24,35,51,91,118,209,242,373,496
45,26,44,65,111,132,255,314,468,595
46,34,54,65,92,168,248,332,500,612
47,31,33,56,92,165,246,368,498,625
48,20,38,71,104,186,243,354,476,588
49,27,45,75,108,159,231,330,505,656
50,38,54,69,97,153,252,375,477,646
51,32,43,50,104,157,257,332,512,649
52,23,41,64,81,198,234,352,475,611
53,25,37,76,87,138,217,314,433,611
