week,Y50T54,Y55T59,Y60T64,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,27,38,56,63,115,149,235,327,496
2,31,36,43,69,116,154,247,307,481
3,20,39,59,83,121,155,216,298,450
4,27,40,65,73,114,142,226,232,425
5,20,43,49,63,117,141,200,297,430
6,23,35,69,80,119,157,200,282,415
7,29,44,54,106,110,154,211,277,421
8,24,46,63,79,115,156,240,265,441
9,31,52,67,85,133,165,228,328,491
10,31,38,67,91,110,140,211,318,469
11,33,39,47,73,122,157,214,300,449
12,30,28,46,79,134,144,210,275,385
13,23,37,57,82,100,164,202,258,374
14,32,33,62,76,92,159,205,279,364
15,33,36,46,73,95,137,210,260,361
16,22,52,64,66,125,137,178,221,322
17,27,36,56,59,107,140,166,224,290
18,19,39,46,84,99,149,169,224,353
19,25,40,47,92,97,102,180,240,331
20,21,34,60,70,98,122,181,194,286
21,24,44,56,56,86,130,183,262,337
22,28,33,50,74,111,131,185,226,282
23,30,34,55,71,96,146,177,214,302
24,19,41,45,58,103,151,174,218,272
25,20,51,48,63,102,139,158,214,282
26,28,33,41,57,105,135,192,201,339
27,30,29,50,71,100,111,180,232,295
28,24,32,39,70,103,114,152,224,265
29,23,35,53,86,90,133,171,258,321
30,26,48,57,81,99,136,191,236,303
31,40,47,48,69,110,146,178,247,323
32,25,34,50,77,103,159,171,231,328
33,31,32,55,81,94,134,180,235,297
34,22,36,54,71,115,111,169,232,297
35,23,44,46,67,117,158,172,237,290
36,28,39,59,60,111,130,169,247,282
37,20,33,58,76,112,124,181,250,328
38,22,49,55,60,99,106,188,232,315
39,32,33,58,72,114,131,193,226,303
40,35,38,58,76,100,128,189,263,294
41,30,37,54,90,85,132,188,238,326
42,30,32,41,67,105,129,207,271,279
43,18,34,51,66,98,154,204,265,307
44,25,33,54,71,125,144,193,260,327
45,33,43,55,82,105,142,188,260,316
46,30,48,56,76,105,134,187,239,314
47,23,36,52,74,100,144,196,256,345
48,19,46,65,71,110,150,221,242,342
49,27,46,62,85,103,160,195,278,367
50,24,43,50,89,121,137,186,296,357
51,36,36,62,62,99,132,230,272,346
52,24,40,53,63,119,167,206,271,362
53,0,0,0,0,0,0,0,0,0
