week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,1,1,6,10,8,12
2,3,1,5,10,11,16
3,2,4,1,8,7,19
4,0,6,1,10,12,16
5,3,8,2,11,14,13
6,3,4,6,10,15,12
7,4,3,6,9,8,17
8,0,6,8,11,10,12
9,3,6,4,12,12,19
10,1,7,7,7,12,10
11,4,6,7,5,8,22
12,4,4,3,3,16,20
13,3,2,8,7,13,11
14,2,2,8,11,7,14
15,4,3,3,5,15,16
16,2,5,7,4,9,12
17,1,3,3,6,9,10
18,3,2,4,9,9,8
19,4,3,7,6,10,13
20,1,3,6,10,5,4
21,0,3,2,7,6,17
22,2,4,7,9,11,12
23,2,7,4,4,9,16
24,1,2,9,6,13,10
25,1,0,4,5,7,9
26,4,5,5,8,9,9
27,1,2,3,7,11,12
28,5,3,6,9,11,9
29,2,4,7,5,10,17
30,2,2,3,5,10,11
31,2,4,2,3,8,10
32,3,2,5,6,13,20
33,2,11,5,4,6,11
34,2,5,3,13,17,11
35,1,6,4,5,6,9
36,1,4,11,7,9,8
37,2,4,5,9,9,18
38,3,3,10,9,6,8
39,2,5,6,7,10,14
40,6,6,2,4,13,6
41,2,5,6,5,5,11
42,4,2,4,11,10,8
43,2,5,6,7,17,6
44,0,7,6,7,13,11
45,1,3,4,8,10,14
46,5,5,5,7,8,12
47,2,4,7,9,8,10
48,2,4,7,9,6,12
49,2,4,4,8,11,8
50,3,8,3,6,8,11
51,1,2,6,11,11,11
52,2,5,6,3,9,10
53,0,0,0,0,0,0
