week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,2,11,10,12,10,12
2,3,5,10,10,11,15
3,1,4,10,13,6,18
4,2,3,6,9,6,13
5,1,5,10,9,11,13
6,5,4,3,8,8,18
7,5,8,6,6,8,9
8,2,7,5,10,9,15
9,6,9,10,20,12,19
10,3,2,8,8,8,18
11,2,6,7,6,11,18
12,4,4,6,6,14,19
13,7,6,4,16,14,13
14,2,1,3,6,10,13
15,1,3,6,16,12,14
16,3,4,5,1,6,14
17,2,4,8,5,9,15
18,4,7,3,7,9,11
19,5,3,4,7,10,10
20,4,7,4,8,11,6
21,3,1,4,13,9,9
22,5,6,9,9,8,11
23,4,7,4,11,4,17
24,3,6,6,11,7,5
25,2,10,8,2,8,15
26,1,3,8,6,9,17
27,4,3,9,6,22,18
28,2,2,4,13,9,11
29,1,3,5,6,12,12
30,4,8,7,8,11,13
31,5,4,6,7,8,15
32,1,1,7,7,5,12
33,2,3,5,6,6,11
34,1,4,3,6,4,7
35,4,2,3,12,8,11
36,1,6,2,9,10,12
37,1,7,10,8,15,11
38,3,3,2,14,10,12
39,5,7,5,7,10,9
40,2,5,5,8,10,11
41,1,6,3,5,7,16
42,4,6,4,8,12,10
43,1,3,3,8,16,9
44,2,5,4,12,10,12
45,4,1,4,5,7,8
46,2,3,1,12,8,11
47,3,5,5,9,11,18
48,4,2,11,8,9,13
49,4,8,5,13,7,12
50,1,3,9,8,21,12
51,2,7,2,11,4,8
52,1,7,8,13,12,12
53,0,0,0,0,0,0
