week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,3,0,0,0,3,3
2,0,1,0,0,0,3
3,0,0,0,2,1,0
4,0,0,0,0,1,2
5,1,1,1,2,2,2
6,0,0,2,3,1,7
7,0,0,0,1,2,1
8,0,0,1,0,1,2
9,2,1,1,4,3,4
10,0,1,0,1,3,3
11,0,0,2,0,1,3
12,0,0,2,1,1,0
13,1,0,1,0,3,1
14,0,1,1,2,1,0
15,1,0,3,3,2,0
16,0,1,1,1,0,2
17,2,1,0,0,0,1
18,1,0,0,2,4,1
19,0,2,0,1,3,1
20,1,2,2,3,2,2
21,0,0,0,0,1,1
22,1,0,0,1,0,0
23,1,0,0,0,0,2
24,1,1,2,1,1,1
25,0,1,0,3,2,1
26,1,0,2,0,3,3
27,0,0,0,1,0,1
28,0,0,0,1,1,3
29,0,0,1,1,3,0
30,0,0,2,0,0,0
31,0,0,0,2,3,2
32,0,1,0,0,2,2
33,1,2,0,1,1,0
34,0,0,0,0,2,1
35,0,0,1,0,0,1
36,0,1,2,0,2,0
37,1,0,0,0,2,2
38,0,2,0,1,0,3
39,0,1,2,1,0,0
40,0,3,2,2,3,2
41,1,0,1,0,0,1
42,0,0,0,0,0,3
43,2,0,0,0,3,1
44,0,3,0,0,0,1
45,0,2,0,1,1,4
46,0,1,0,2,1,5
47,0,0,0,1,1,1
48,2,0,0,3,3,2
49,0,0,0,3,0,7
50,1,1,0,1,2,2
51,2,0,1,0,2,3
52,0,0,0,2,2,3
53,0,0,0,0,0,0
