week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,1,1,1,1,5,5
2,0,0,1,1,6,4
3,2,0,2,3,3,5
4,0,1,5,4,1,3
5,1,0,2,4,1,5
6,1,1,4,3,2,3
7,0,0,2,2,0,2
8,0,0,0,0,0,5
9,0,2,0,1,1,6
10,0,0,2,1,1,1
11,1,0,0,1,2,2
12,0,1,0,3,1,5
13,2,3,1,0,1,3
14,0,1,0,1,1,0
15,1,0,1,0,4,2
16,3,1,1,0,0,3
17,1,0,0,4,1,1
18,2,0,1,1,3,3
19,0,1,1,1,1,3
20,0,0,1,2,2,2
21,2,0,1,0,2,3
22,0,0,0,0,2,3
23,0,1,2,1,0,2
24,0,1,0,3,1,2
25,0,2,1,2,0,3
26,0,0,1,0,2,1
27,1,0,0,1,1,1
28,0,1,0,2,2,1
29,0,0,1,2,1,1
30,0,3,1,3,1,2
31,2,1,0,0,2,4
32,1,0,2,3,3,3
33,1,2,1,0,8,2
34,2,1,2,0,1,2
35,1,0,0,1,1,1
36,1,2,1,0,4,4
37,0,0,1,2,2,2
38,2,1,2,0,2,5
39,1,1,1,3,0,1
40,0,0,3,1,2,3
41,0,0,0,3,1,2
42,2,1,0,0,1,4
43,0,2,0,2,4,3
44,0,0,0,0,0,1
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,0,0,0,0,0,0
48,0,0,0,0,0,0
49,0,0,0,0,0,0
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
