week,Y0T4,Y5T9,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49
1,6,0,1,1,2,8,3,11,9,14
2,8,0,1,4,2,3,6,7,13,13
3,5,1,1,1,3,5,9,10,6,12
4,4,1,0,0,1,2,8,9,12,16
5,5,0,1,1,2,4,0,5,7,12
6,9,1,1,2,4,3,4,9,10,18
7,8,1,0,2,1,3,9,7,7,14
8,8,0,2,3,2,4,3,7,6,14
9,7,0,3,1,3,2,2,8,13,17
10,3,2,0,2,1,6,5,3,11,24
11,8,0,2,2,5,2,2,5,3,19
12,9,1,0,1,1,1,3,10,8,15
13,8,1,1,2,4,2,1,5,8,19
14,5,2,0,1,3,2,1,7,6,10
15,9,1,2,2,0,3,5,1,6,20
16,7,0,0,2,2,2,3,2,13,11
17,3,1,3,2,1,2,4,4,8,14
18,5,1,0,1,4,3,2,4,11,13
19,9,1,1,2,2,1,5,6,6,13
20,6,0,1,3,1,5,7,3,9,16
21,6,1,1,1,3,7,3,5,7,11
22,5,0,0,1,3,3,2,3,11,11
23,5,1,1,1,6,4,3,4,8,20
24,6,0,0,2,1,2,3,9,4,11
25,9,0,0,3,5,0,1,6,10,16
26,7,0,1,3,3,3,3,5,7,18
27,7,3,1,0,7,4,4,4,11,13
28,2,0,1,1,4,4,5,6,13,19
29,5,0,2,2,4,4,4,8,9,15
30,3,0,0,1,5,5,6,6,6,13
31,6,1,1,3,2,4,4,6,9,20
32,5,0,1,1,3,4,0,7,7,16
33,3,0,0,2,2,5,3,5,13,15
34,4,0,1,1,2,0,1,8,10,11
35,6,0,0,1,4,3,5,4,8,21
36,5,0,0,0,2,0,3,11,8,24
37,5,2,0,4,3,3,3,4,9,15
38,3,0,0,2,5,3,4,5,6,23
39,7,1,0,3,3,1,5,4,6,20
40,6,0,0,2,4,4,3,4,5,16
41,14,0,1,0,4,4,6,5,9,10
42,6,0,2,2,5,4,3,7,6,15
43,4,0,2,1,1,6,3,4,4,11
44,7,1,1,2,3,2,2,5,5,12
45,9,0,0,5,0,2,1,7,8,7
46,9,0,0,4,3,6,8,3,12,14
47,8,0,1,4,3,4,3,10,11,10
48,7,4,0,2,2,3,8,1,10,18
49,12,1,1,3,2,5,6,7,17,12
50,8,1,0,3,5,1,3,4,10,18
51,6,0,2,0,1,1,5,4,6,22
52,7,0,1,4,2,3,2,5,7,13
53,0,0,0,0,0,0,0,0,0,0
