week,Y50T54,Y55T59,Y60T64,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,21,33,45,67,97,153,209,272,395
2,30,29,51,75,117,150,191,257,429
3,28,37,51,73,109,142,190,253,428
4,24,46,55,87,98,142,214,258,438
5,27,44,54,82,120,158,207,262,451
6,17,46,46,106,114,160,208,309,432
7,19,43,57,86,124,176,240,320,438
8,31,33,41,95,119,164,217,309,476
9,17,51,50,77,120,151,211,317,481
10,25,32,57,82,113,159,203,289,441
11,25,34,54,76,106,140,205,285,420
12,32,34,64,73,115,152,188,274,375
13,26,35,67,63,121,143,206,261,352
14,24,37,63,68,132,150,217,267,381
15,20,36,42,60,116,141,202,215,352
16,27,42,56,71,100,145,205,262,357
17,17,38,51,72,98,145,189,257,330
18,23,35,46,81,110,133,208,233,353
19,28,44,69,76,112,142,167,234,345
20,11,41,61,74,104,128,191,249,313
21,24,38,49,66,89,139,177,272,355
22,17,42,45,84,123,149,177,233,326
23,19,32,47,70,103,151,193,254,332
24,20,45,61,58,98,147,172,239,286
25,25,48,50,68,117,123,170,232,321
26,28,44,47,76,114,142,183,236,333
27,32,39,58,56,99,158,194,237,342
28,28,30,58,68,116,131,202,227,320
29,26,40,60,65,103,138,166,225,346
30,22,32,45,75,125,142,199,242,335
31,19,33,46,65,100,121,166,206,330
32,24,23,57,67,95,110,160,231,315
33,19,30,51,65,92,134,178,250,282
34,27,43,43,69,102,159,178,248,327
35,19,30,44,83,114,121,184,221,291
36,24,31,56,59,119,153,155,228,314
37,20,49,51,81,114,137,202,243,311
38,29,37,62,66,133,137,176,267,336
39,26,33,60,57,107,139,181,241,348
40,29,51,46,73,109,147,190,241,310
41,27,52,54,58,123,156,202,229,330
42,25,48,62,67,99,146,192,262,354
43,19,42,51,80,119,129,199,261,359
44,30,34,56,75,114,135,210,242,291
45,28,28,38,73,115,155,196,241,349
46,26,44,50,83,126,162,221,249,363
47,28,34,44,64,128,130,188,313,350
48,30,43,60,57,125,162,209,288,365
49,16,29,49,68,114,146,172,250,325
50,28,39,57,86,129,142,210,286,350
51,29,42,64,65,128,169,208,267,381
52,22,38,52,78,113,150,205,282,344
53,0,0,0,0,0,0,0,0,0
