week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,11,20,16,33,39,75
2,5,18,24,35,41,75
3,11,18,24,40,47,73
4,18,23,27,31,49,60
5,5,17,19,35,48,71
6,12,22,26,32,47,57
7,4,11,23,34,61,53
8,11,18,19,35,47,55
9,11,11,25,22,48,67
10,8,19,28,30,37,66
11,7,19,22,31,35,68
12,12,14,23,45,41,80
13,10,17,23,28,39,64
14,18,20,22,42,54,85
15,13,17,26,43,49,71
16,10,26,21,35,56,64
17,9,20,14,31,35,52
18,9,20,33,25,37,73
19,8,21,22,29,45,52
20,5,14,24,23,34,63
21,11,8,26,21,32,61
22,13,19,34,19,40,65
23,11,16,21,22,38,50
24,8,20,20,33,37,41
25,6,12,28,25,37,51
26,7,12,21,29,32,48
27,13,17,20,24,44,59
28,12,13,29,32,26,53
29,9,14,23,34,32,47
30,9,10,23,27,44,44
31,14,14,21,27,44,53
32,8,15,25,27,33,53
33,11,14,37,32,37,57
34,17,19,25,25,36,54
35,6,17,22,27,27,69
36,8,14,22,33,46,57
37,11,18,24,27,39,58
38,10,18,29,32,39,60
39,13,19,30,31,54,57
40,11,16,21,30,49,62
41,10,21,24,37,38,64
42,8,15,22,29,48,56
43,10,24,25,34,58,60
44,12,17,27,26,49,59
45,15,21,31,36,71,68
46,16,15,28,36,74,74
47,20,21,29,48,66,84
48,12,21,37,57,68,75
49,14,22,39,48,71,95
50,19,27,50,74,88,116
51,21,24,41,57,88,122
52,12,47,33,77,81,97
53,7,16,39,37,79,113
