week,Y0T4,Y5T9,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49,Y50T54,Y55T59,Y60T64,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,6,0,0,2,1,2,5,5,2,9,32,48,51,84,138,216,282,384,625
2,8,3,1,3,2,3,7,7,5,13,30,40,71,93,120,200,261,382,533
3,4,0,0,2,2,2,4,5,10,11,19,51,64,87,98,190,249,379,579
4,6,0,0,0,2,1,4,3,6,16,23,47,64,77,119,201,239,310,484
5,8,1,0,5,2,5,3,6,10,15,21,30,60,87,117,150,201,280,428
6,4,2,0,4,4,3,4,1,11,12,26,32,71,85,93,168,209,255,419
7,1,1,1,1,1,1,3,5,7,6,14,35,56,75,92,168,192,246,388
8,4,1,2,1,4,6,3,2,11,16,19,29,51,79,112,151,190,246,377
9,9,2,1,0,2,4,4,6,2,8,17,44,60,70,101,154,173,245,373
10,3,0,1,1,0,1,2,2,8,13,26,40,52,64,133,157,189,252,335
11,8,1,0,2,1,5,4,6,5,10,25,31,54,76,116,127,177,241,328
12,6,1,1,1,4,4,4,6,7,12,29,30,49,62,92,166,173,235,381
13,8,0,0,2,3,6,5,6,8,11,16,38,46,72,109,151,173,244,338
14,8,0,0,3,3,1,3,5,6,14,29,39,52,80,106,132,193,234,342
15,8,1,0,1,2,3,4,3,9,16,13,43,57,83,94,156,167,228,353
16,3,1,0,1,3,5,7,3,5,10,28,28,73,70,114,167,171,230,319
17,2,0,0,4,3,2,5,2,7,8,24,34,71,75,97,156,192,246,335
18,11,0,1,1,4,9,6,6,8,13,24,33,50,65,103,167,179,217,305
19,8,0,0,2,1,2,7,2,9,17,23,45,58,63,101,159,184,212,357
20,6,3,0,0,2,4,2,2,12,12,25,42,45,64,113,142,172,215,315
21,5,1,4,2,2,4,6,3,6,15,24,46,48,86,94,135,159,240,313
22,6,0,0,1,0,3,2,7,6,9,21,39,58,75,113,128,179,229,324
23,6,1,0,4,4,3,3,1,10,10,24,36,57,42,114,146,149,176,303
24,2,0,1,0,2,7,3,5,4,6,18,45,55,64,113,136,175,226,318
25,7,0,0,1,2,8,1,9,12,10,29,43,47,57,105,153,168,192,322
26,5,0,1,0,3,4,8,5,6,8,23,33,52,67,99,134,164,232,311
27,5,0,1,0,2,3,3,7,8,17,27,20,61,78,91,130,159,233,296
28,6,0,1,1,1,3,5,6,4,9,22,33,51,72,109,133,157,220,310
29,9,0,0,2,4,1,3,5,9,14,22,41,36,67,111,145,180,224,313
30,3,1,2,1,2,0,1,5,5,12,17,35,44,76,96,129,155,243,290
31,1,0,0,1,0,5,3,6,12,14,16,28,53,59,87,135,162,206,314
32,2,0,1,2,4,7,5,6,6,12,23,49,57,73,95,136,184,240,333
33,2,0,0,0,1,2,5,1,4,10,29,44,44,71,95,121,193,208,331
34,4,1,1,0,2,3,3,5,7,10,16,41,45,64,77,139,163,214,298
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
