week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,3,9,6,6,20,33
2,4,3,10,10,10,17
3,4,6,4,18,9,30
4,4,2,8,7,17,23
5,4,4,5,11,8,18
6,3,7,11,11,17,25
7,2,4,10,12,19,29
8,4,4,8,11,8,24
9,5,1,9,11,16,14
10,3,4,9,11,11,27
11,2,2,8,10,9,27
12,3,4,10,9,12,23
13,3,3,10,12,18,25
14,3,10,9,9,9,32
15,2,4,9,8,10,17
16,3,9,10,10,11,17
17,4,2,5,10,14,15
18,0,9,8,12,8,24
19,7,4,5,10,15,15
20,4,10,4,10,7,15
21,3,2,5,8,7,15
22,5,6,5,5,12,10
23,1,3,5,10,12,20
24,4,3,5,11,11,17
25,3,5,4,13,12,17
26,2,5,9,10,8,15
27,5,4,4,5,11,14
28,3,5,10,11,12,27
29,5,5,3,12,14,25
30,2,4,10,5,22,24
31,1,6,5,10,16,15
32,1,5,7,9,8,21
33,6,8,7,6,6,19
34,4,8,5,9,7,15
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,0,0,0,0,0,0
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,0,0,0,0,0,0
48,0,0,0,0,0,0
49,0,0,0,0,0,0
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
