week,Y0T4,Y5T9,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49
1,6,0,0,2,1,2,5,5,2,9
2,8,3,1,3,2,3,7,7,5,13
3,4,0,0,2,2,2,4,5,10,11
4,6,0,0,0,2,1,4,3,6,16
5,8,1,0,5,2,5,3,6,10,15
6,4,2,0,4,4,3,4,1,11,12
7,1,1,1,1,1,1,3,5,7,6
8,4,1,2,1,4,6,3,2,11,16
9,9,2,1,0,2,4,4,6,2,8
10,3,0,1,1,0,1,2,2,8,13
11,8,1,0,2,1,5,4,6,5,10
12,6,1,1,1,4,4,4,6,7,12
13,8,0,0,2,3,6,5,6,8,11
14,8,0,0,3,3,1,3,5,6,14
15,8,1,0,1,2,3,4,3,9,16
16,3,1,0,1,3,5,7,3,5,10
17,2,0,0,4,3,2,5,2,7,8
18,11,0,1,1,4,9,6,6,8,13
19,8,0,0,2,1,2,7,2,9,17
20,6,3,0,0,2,4,2,2,12,12
21,5,1,4,2,2,4,6,3,6,15
22,6,0,0,1,0,3,2,7,6,9
23,6,1,0,4,4,3,3,1,10,10
24,2,0,1,0,2,7,3,5,4,6
25,7,0,0,1,2,8,1,9,12,10
26,5,0,1,0,3,4,8,5,6,8
27,5,0,1,0,2,3,3,7,8,17
28,6,0,1,1,1,3,5,6,4,9
29,9,0,0,2,4,1,3,5,9,14
30,3,1,2,1,2,0,1,5,5,12
31,1,0,0,1,0,5,3,6,12,14
32,2,0,1,2,4,7,5,6,6,12
33,2,0,0,0,1,2,5,1,4,10
34,4,1,1,0,2,3,3,5,7,10
35,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0
