week,Y0T4,Y5T9,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49,Y50T54,Y55T59,Y60T64
1,1,0,0,1,0,0,0,0,2,0,2,1,4
2,0,0,1,0,0,0,0,2,0,1,2,3,11
3,0,0,0,1,0,0,1,2,0,3,4,7,3
4,0,0,0,0,0,1,2,1,1,2,4,5,9
5,0,0,0,0,0,1,1,3,0,0,4,4,7
6,0,0,0,0,2,0,0,0,0,1,3,7,15
7,0,0,1,0,0,0,1,1,0,3,1,9,12
8,1,1,0,0,1,0,2,0,2,1,5,6,9
9,0,0,0,0,1,0,0,1,1,2,3,9,10
10,0,0,0,0,0,0,0,0,0,3,2,5,5
11,0,0,0,0,0,1,0,2,2,1,5,5,7
12,0,0,0,0,0,1,1,1,0,1,5,5,8
13,2,0,0,0,0,1,1,1,0,0,2,8,9
14,2,0,0,0,0,1,0,1,0,1,8,7,4
15,0,0,0,0,0,0,0,0,0,3,3,3,9
16,2,0,0,0,0,1,0,0,0,1,6,4,7
17,2,1,0,0,0,0,3,0,2,2,2,3,5
18,0,0,0,0,1,0,0,1,2,0,1,7,8
19,1,0,0,0,1,0,1,2,0,4,2,6,9
20,0,0,0,0,1,1,0,2,1,3,2,8,9
21,1,0,0,0,1,1,1,1,1,2,2,1,3
22,2,0,0,1,0,1,0,0,1,3,2,8,7
23,0,0,0,0,1,0,1,2,4,0,2,4,4
24,1,0,0,0,1,0,0,2,0,2,4,5,3
25,1,0,0,0,1,1,1,0,3,3,1,5,8
26,1,0,0,0,1,0,0,1,0,3,6,5,6
27,2,0,0,0,0,0,0,2,0,2,1,8,2
28,1,0,0,0,0,0,0,0,2,2,4,4,8
29,1,0,0,0,1,0,1,1,0,1,0,3,5
30,0,0,0,0,1,0,2,0,0,2,6,3,10
31,0,0,1,0,0,0,0,1,0,4,5,5,7
32,1,0,0,0,0,1,2,0,0,5,5,2,6
33,0,0,0,0,1,0,0,0,1,3,12,7,10
34,0,0,0,1,0,0,1,1,0,0,6,3,3
35,1,0,0,1,0,0,0,0,1,1,1,5,10
36,0,0,0,0,0,1,0,1,0,1,4,6,3
37,1,0,0,0,2,0,2,1,2,0,2,5,11
38,1,0,0,0,1,0,0,1,0,2,3,5,5
39,1,0,0,0,0,1,1,1,2,1,5,5,10
40,0,0,0,0,0,0,0,1,2,0,5,3,3
41,2,0,0,0,1,0,0,0,2,4,5,2,13
42,2,1,0,0,0,0,1,2,2,2,3,3,3
43,1,0,0,0,0,0,1,0,1,0,1,5,10
44,1,0,0,0,0,0,0,0,2,4,2,1,5
45,2,0,0,0,0,1,0,1,1,5,5,4,12
46,0,0,0,0,0,0,1,1,1,2,0,6,9
47,1,0,0,1,0,0,0,0,0,1,5,6,6
48,0,0,0,0,0,1,0,1,0,3,2,8,6
49,2,0,0,2,0,1,0,0,0,1,4,5,5
50,0,0,0,0,1,0,2,1,0,1,5,12,8
51,2,0,0,0,0,1,4,2,0,3,5,10,7
52,0,0,0,0,1,0,0,1,1,2,3,4,2
53,2,0,0,0,0,1,0,0,0,1,5,4,12
