week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,4,4,5,8,7,20
2,2,5,3,8,9,10
3,3,2,2,7,7,12
4,2,6,5,9,7,11
5,3,3,7,1,8,16
6,5,4,6,7,12,12
7,4,6,6,11,6,16
8,3,7,4,6,12,11
9,1,5,5,4,8,17
10,2,4,2,13,11,14
11,2,3,5,5,8,16
12,5,4,6,9,6,10
13,5,3,8,5,5,7
14,2,6,3,2,5,14
15,0,7,6,5,2,14
16,2,1,3,6,6,10
17,4,4,6,8,10,6
18,2,2,3,5,8,7
19,1,1,5,6,3,7
20,5,4,3,7,7,7
21,4,0,4,5,13,10
22,3,4,5,3,6,11
23,1,1,5,8,1,12
24,1,2,6,4,4,8
25,3,6,6,5,8,1
26,3,3,10,2,11,6
27,2,1,2,9,7,9
28,1,7,8,7,9,4
29,3,6,3,5,6,7
30,5,6,3,9,3,10
31,1,3,2,5,5,13
32,4,4,0,2,9,10
33,4,3,2,2,8,10
34,2,1,3,5,9,7
35,0,5,7,7,5,10
36,3,3,7,1,2,14
37,4,4,8,7,6,9
38,4,7,2,9,9,9
39,5,4,1,4,3,14
40,1,2,4,7,7,5
41,1,3,4,6,5,6
42,1,5,5,2,5,7
43,1,2,4,5,6,9
44,1,5,2,10,6,6
45,7,3,4,5,16,10
46,5,3,7,4,6,15
47,2,9,0,2,9,8
48,2,2,5,8,11,12
49,0,3,7,7,9,9
50,1,5,6,10,9,10
51,0,6,9,3,3,9
52,1,6,3,5,9,9
53,0,0,0,0,0,0
