week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,0,2,3,6,8,11
2,5,3,6,2,10,14
3,7,3,0,9,5,12
4,6,4,7,4,11,19
5,4,8,5,13,9,7
6,5,5,7,6,5,15
7,1,7,2,9,12,13
8,4,3,7,4,15,14
9,3,2,3,5,9,17
10,2,5,2,8,12,14
11,1,1,4,6,13,4
12,3,2,3,8,6,8
13,2,2,7,1,8,12
14,1,1,3,7,7,10
15,4,5,3,8,6,13
16,1,6,0,3,7,7
17,4,5,2,6,9,9
18,2,4,5,4,7,10
19,1,2,5,6,4,7
20,5,1,3,2,4,7
21,3,4,3,2,5,4
22,0,0,2,3,9,3
23,4,4,3,5,9,11
24,3,6,3,3,2,9
25,2,2,1,3,7,7
26,3,2,1,4,10,7
27,3,1,6,1,8,6
28,2,7,3,3,6,10
29,1,6,2,4,7,8
30,0,0,3,3,8,6
31,3,3,3,6,7,8
32,0,4,5,5,3,12
33,6,3,2,4,9,8
34,2,2,4,8,9,9
35,1,1,3,3,8,5
36,1,6,6,6,7,5
37,1,1,7,8,3,4
38,1,5,0,4,3,6
39,3,2,1,3,11,8
40,2,5,4,11,4,8
41,0,3,4,4,7,5
42,3,3,4,9,8,10
43,3,2,3,7,9,7
44,6,2,1,7,7,7
45,5,1,3,4,6,12
46,5,4,5,8,8,10
47,0,3,7,3,7,9
48,4,5,5,7,4,8
49,1,1,0,8,10,13
50,3,2,7,5,5,8
51,1,3,2,6,6,11
52,3,0,2,7,9,10
53,1,3,5,7,6,10
