TIME_PERIOD;GEO;AGE;SEX;Obs_status;Obs_value
2020-W53;CH013;Y80T84;T;P;8
2020-W53;CH013;Y80T84;F;P;2
2020-W53;CH013;Y80T84;M;P;6
2020-W53;CH013;Y85T89;T;P;15
2020-W53;CH013;Y85T89;F;P;5
2020-W53;CH013;Y85T89;M;P;10
2020-W53;CH013;Y_GE90;T;P;25
2020-W53;CH013;Y_GE90;F;P;16
2020-W53;CH013;Y_GE90;M;P;9
2020-W53;CH021;_T;T;P;263
2020-W53;CH021;_T;F;P;134
2020-W53;CH021;_T;M;P;129
2020-W53;CH021;Y0T4;T;P;1
2020-W53;CH021;Y0T4;F;P;1
2020-W53;CH021;Y45T49;T;P;1
2020-W53;CH021;Y45T49;F;P;1
2020-W53;CH021;Y50T54;T;P;5
2020-W53;CH021;Y50T54;F;P;1
2020-W53;CH021;Y50T54;M;P;4
2020-W53;CH021;Y55T59;T;P;4
2020-W53;CH021;Y55T59;F;P;1
2020-W53;CH021;Y55T59;M;P;3
2020-W53;CH021;Y60T64;T;P;12
2020-W53;CH021;Y60T64;F;P;5
2020-W53;CH021;Y60T64;M;P;7
2020-W53;CH021;Y65T69;T;P;13
2020-W53;CH021;Y65T69;F;P;6
2020-W53;CH021;Y65T69;M;P;7
2020-W53;CH021;Y70T74;T;P;21
2020-W53;CH021;Y70T74;F;P;9
2020-W53;CH021;Y70T74;M;P;12
2020-W53;CH021;Y75T79;T;P;28
2020-W53;CH021;Y75T79;F;P;12
2020-W53;CH021;Y75T79;M;P;16
2020-W53;CH021;Y80T84;T;P;45
2020-W53;CH021;Y80T84;F;P;27
2020-W53;CH021;Y80T84;M;P;18
2020-W53;CH021;Y85T89;T;P;41
2020-W53;CH021;Y85T89;F;P;19
2020-W53;CH021;Y85T89;M;P;22
2020-W53;CH021;Y_GE90;T;P;92
2020-W53;CH021;Y_GE90;F;P;52
2020-W53;CH021;Y_GE90;M;P;40
2020-W53;CH022;_T;T;P;47
2020-W53;CH022;_T;F;P;25
2020-W53;CH022;_T;M;P;22
