"TIME_PERIOD";"GEO";"AGE";"SEX";"OBS_STATUS";"OBS_VALUE"
"2021-W01";"CH012";"Y80T84";"M";"P";7
"2021-W01";"CH012";"Y85T89";"T";"P";11
"2021-W01";"CH012";"Y85T89";"F";"P";7
"2021-W01";"CH012";"Y85T89";"M";"P";4
"2021-W01";"CH012";"Y_GE90";"T";"P";31
"2021-W01";"CH012";"Y_GE90";"F";"P";21
"2021-W01";"CH012";"Y_GE90";"M";"P";10
"2021-W01";"CH013";"_T";"T";"P";81
"2021-W01";"CH013";"_T";"F";"P";46
"2021-W01";"CH013";"_T";"M";"P";35
"2021-W01";"CH013";"Y50T54";"T";"P";2
"2021-W01";"CH013";"Y50T54";"M";"P";2
"2021-W01";"CH013";"Y55T59";"T";"P";1
"2021-W01";"CH013";"Y55T59";"M";"P";1
"2021-W01";"CH013";"Y60T64";"T";"P";1
"2021-W01";"CH013";"Y60T64";"M";"P";1
"2021-W01";"CH013";"Y65T69";"T";"P";6
"2021-W01";"CH013";"Y65T69";"F";"P";2
"2021-W01";"CH013";"Y65T69";"M";"P";4
"2021-W01";"CH013";"Y70T74";"T";"P";6
"2021-W01";"CH013";"Y70T74";"F";"P";3
"2021-W01";"CH013";"Y70T74";"M";"P";3
"2021-W01";"CH013";"Y75T79";"T";"P";10
"2021-W01";"CH013";"Y75T79";"F";"P";5
"2021-W01";"CH013";"Y75T79";"M";"P";5
"2021-W01";"CH013";"Y80T84";"T";"P";8
"2021-W01";"CH013";"Y80T84";"F";"P";5
"2021-W01";"CH013";"Y80T84";"M";"P";3
"2021-W01";"CH013";"Y85T89";"T";"P";16
"2021-W01";"CH013";"Y85T89";"F";"P";9
"2021-W01";"CH013";"Y85T89";"M";"P";7
"2021-W01";"CH013";"Y_GE90";"T";"P";31
"2021-W01";"CH013";"Y_GE90";"F";"P";22
"2021-W01";"CH013";"Y_GE90";"M";"P";9
"2021-W01";"CH021";"_T";"T";"P";261
"2021-W01";"CH021";"_T";"F";"P";117
"2021-W01";"CH021";"_T";"M";"P";144
"2021-W01";"CH021";"Y0T4";"T";"P";2
"2021-W01";"CH021";"Y0T4";"F";"P";2
"2021-W01";"CH021";"Y20T24";"T";"P";1
