TIME_PERIOD;GEO;AGE;SEX;OBS_STATUS;OBS_VALUE
2022-W01;CH013;Y65T69;F;P;1
2022-W01;CH013;Y65T69;M;P;1
2022-W01;CH013;Y70T74;T;P;3
2022-W01;CH013;Y70T74;F;P;1
2022-W01;CH013;Y70T74;M;P;2
2022-W01;CH013;Y75T79;T;P;10
2022-W01;CH013;Y75T79;F;P;4
2022-W01;CH013;Y75T79;M;P;6
2022-W01;CH013;Y80T84;T;P;12
2022-W01;CH013;Y80T84;F;P;4
2022-W01;CH013;Y80T84;M;P;8
2022-W01;CH013;Y85T89;T;P;18
2022-W01;CH013;Y85T89;F;P;11
2022-W01;CH013;Y85T89;M;P;7
2022-W01;CH013;Y_GE90;T;P;24
2022-W01;CH013;Y_GE90;F;P;14
2022-W01;CH013;Y_GE90;M;P;10
2022-W01;CH021;_T;T;P;202
2022-W01;CH021;_T;F;P;104
2022-W01;CH021;_T;M;P;98
2022-W01;CH021;Y25T29;T;P;1
2022-W01;CH021;Y25T29;M;P;1
2022-W01;CH021;Y35T39;T;P;1
2022-W01;CH021;Y35T39;M;P;1
2022-W01;CH021;Y40T44;T;P;3
2022-W01;CH021;Y40T44;F;P;1
2022-W01;CH021;Y40T44;M;P;2
2022-W01;CH021;Y45T49;T;P;1
2022-W01;CH021;Y45T49;M;P;1
2022-W01;CH021;Y55T59;T;P;4
2022-W01;CH021;Y55T59;F;P;2
2022-W01;CH021;Y55T59;M;P;2
2022-W01;CH021;Y60T64;T;P;10
2022-W01;CH021;Y60T64;F;P;5
2022-W01;CH021;Y60T64;M;P;5
2022-W01;CH021;Y65T69;T;P;7
2022-W01;CH021;Y65T69;F;P;3
2022-W01;CH021;Y65T69;M;P;4
2022-W01;CH021;Y70T74;T;P;25
2022-W01;CH021;Y70T74;F;P;9
2022-W01;CH021;Y70T74;M;P;16
2022-W01;CH021;Y75T79;T;P;24
2022-W01;CH021;Y75T79;F;P;7
2022-W01;CH021;Y75T79;M;P;17
2022-W01;CH021;Y80T84;T;P;24
2022-W01;CH021;Y80T84;F;P;11
2022-W01;CH021;Y80T84;M;P;13
2022-W01;CH021;Y85T89;T;P;44
2022-W01;CH021;Y85T89;F;P;23
2022-W01;CH021;Y85T89;M;P;21
2022-W01;CH021;Y_GE90;T;P;58
2022-W01;CH021;Y_GE90;F;P;43
2022-W01;CH021;Y_GE90;M;P;15
2022-W01;CH022;_T;T;P;46
2022-W01;CH022;_T;F;P;23
2022-W01;CH022;_T;M;P;23
2022-W01;CH022;Y15T19;T;P;1
2022-W01;CH022;Y15T19;F;P;1
2022-W01;CH022;Y20T24;T;P;1
2022-W01;CH022;Y20T24;M;P;1
2022-W01;CH022;Y40T44;T;P;1
2022-W01;CH022;Y40T44;M;P;1
2022-W01;CH022;Y55T59;T;P;1
2022-W01;CH022;Y55T59;M;P;1
2022-W01;CH022;Y60T64;T;P;2
2022-W01;CH022;Y60T64;M;P;2
2022-W01;CH022;Y65T69;T;P;4
2022-W01;CH022;Y65T69;F;P;2
2022-W01;CH022;Y65T69;M;P;2
2022-W01;CH022;Y70T74;T;P;2
2022-W01;CH022;Y70T74;F;P;2
2022-W01;CH022;Y75T79;T;P;7
2022-W01;CH022;Y75T79;F;P;3
2022-W01;CH022;Y75T79;M;P;4
2022-W01;CH022;Y80T84;T;P;7
2022-W01;CH022;Y80T84;F;P;4
2022-W01;CH022;Y80T84;M;P;3
2022-W01;CH022;Y85T89;T;P;8
2022-W01;CH022;Y85T89;F;P;3
2022-W01;CH022;Y85T89;M;P;5
2022-W01;CH022;Y_GE90;T;P;12
2022-W01;CH022;Y_GE90;F;P;8
2022-W01;CH022;Y_GE90;M;P;4
2022-W01;CH023;_T;T;P;43
2022-W01;CH023;_T;F;P;14
2022-W01;CH023;_T;M;P;29
2022-W01;CH023;Y30T34;T;P;1
2022-W01;CH023;Y30T34;M;P;1
2022-W01;CH023;Y40T44;T;P;1
2022-W01;CH023;Y40T44;M;P;1
2022-W01;CH023;Y55T59;T;P;1
2022-W01;CH023;Y55T59;M;P;1
2022-W01;CH023;Y65T69;T;P;4
2022-W01;CH023;Y65T69;F;P;1
2022-W01;CH023;Y65T69;M;P;3
2022-W01;CH023;Y70T74;T;P;4
2022-W01;CH023;Y70T74;M;P;4
2022-W01;CH023;Y75T79;T;P;8
2022-W01;CH023;Y75T79;F;P;3
2022-W01;CH023;Y75T79;M;P;5
2022-W01;CH023;Y80T84;T;P;5
2022-W01;CH023;Y80T84;M;P;5
2022-W01;CH023;Y85T89;T;P;6
2022-W01;CH023;Y85T89;F;P;3
2022-W01;CH023;Y85T89;M;P;3
2022-W01;CH023;Y_GE90;T;P;13
2022-W01;CH023;Y_GE90;F;P;7
2022-W01;CH023;Y_GE90;M;P;6
2022-W01;CH024;_T;T;P;30
2022-W01;CH024;_T;F;P;12
2022-W01;CH024;_T;M;P;18
2022-W01;CH024;Y25T29;T;P;1
2022-W01;CH024;Y25T29;M;P;1
2022-W01;CH024;Y50T54;T;P;1
2022-W01;CH024;Y50T54;M;P;1
2022-W01;CH024;Y60T64;T;P;3
2022-W01;CH024;Y60T64;M;P;3
2022-W01;CH024;Y65T69;T;P;1
2022-W01;CH024;Y65T69;M;P;1
2022-W01;CH024;Y70T74;T;P;1
2022-W01;CH024;Y70T74;M;P;1
2022-W01;CH024;Y75T79;T;P;5
2022-W01;CH024;Y75T79;M;P;5
2022-W01;CH024;Y80T84;T;P;3
2022-W01;CH024;Y80T84;F;P;2
2022-W01;CH024;Y80T84;M;P;1
2022-W01;CH024;Y85T89;T;P;3
2022-W01;CH024;Y85T89;F;P;1
2022-W01;CH024;Y85T89;M;P;2
2022-W01;CH024;Y_GE90;T;P;12
2022-W01;CH024;Y_GE90;F;P;9
2022-W01;CH024;Y_GE90;M;P;3
2022-W01;CH025;_T;T;P;20
2022-W01;CH025;_T;F;P;8
2022-W01;CH025;_T;M;P;12
2022-W01;CH025;Y50T54;T;P;1
2022-W01;CH025;Y50T54;M;P;1
2022-W01;CH025;Y60T64;T;P;2
2022-W01;CH025;Y60T64;F;P;2
2022-W01;CH025;Y65T69;T;P;1
