2000-W01;CH;_T;T;;1611
2000-W01;CH;_T;F;;844
2000-W01;CH;_T;M;;767
2000-W01;CH;Y0T4;T;;7
2000-W01;CH;Y0T4;F;;3
2000-W01;CH;Y0T4;M;;4
2000-W01;CH;Y10T14;T;;2
2000-W01;CH;Y10T14;M;;2
2000-W01;CH;Y15T19;T;;4
2000-W01;CH;Y15T19;M;;4
2000-W01;CH;Y20T24;T;;4
2000-W01;CH;Y20T24;F;;1
2000-W01;CH;Y20T24;M;;3
2000-W01;CH;Y25T29;T;;4
2000-W01;CH;Y25T29;M;;4
2000-W01;CH;Y30T34;T;;9
2000-W01;CH;Y30T34;F;;4
2000-W01;CH;Y30T34;M;;5
2000-W01;CH;Y35T39;T;;17
2000-W01;CH;Y35T39;F;;10
2000-W01;CH;Y35T39;M;;7
2000-W01;CH;Y40T44;T;;28
2000-W01;CH;Y40T44;F;;8
2000-W01;CH;Y40T44;M;;20
2000-W01;CH;Y45T49;T;;16
2000-W01;CH;Y45T49;F;;5
2000-W01;CH;Y45T49;M;;11
2000-W01;CH;Y50T54;T;;33
2000-W01;CH;Y50T54;F;;14
2000-W01;CH;Y50T54;M;;19
2000-W01;CH;Y55T59;T;;34
2000-W01;CH;Y55T59;F;;11
2000-W01;CH;Y55T59;M;;23
2000-W01;CH;Y60T64;T;;51
2000-W01;CH;Y60T64;F;;17
2000-W01;CH;Y60T64;M;;34
2000-W01;CH;Y65T69;T;;91
2000-W01;CH;Y65T69;F;;29
2000-W01;CH;Y65T69;M;;62
2000-W01;CH;Y70T74;T;;144
2000-W01;CH;Y70T74;F;;65
2000-W01;CH;Y70T74;M;;79
2000-W01;CH;Y75T79;T;;195
2000-W01;CH;Y75T79;F;;86
2000-W01;CH;Y75T79;M;;109
2000-W01;CH;Y80T84;T;;262
2000-W01;CH;Y80T84;F;;134
2000-W01;CH;Y80T84;M;;128
2000-W01;CH;Y85T89;T;;298
2000-W01;CH;Y85T89;F;;164
2000-W01;CH;Y85T89;M;;134
2000-W01;CH;Y_GE90;T;;412
2000-W01;CH;Y_GE90;F;;293
2000-W01;CH;Y_GE90;M;;119
2000-W01;CH011;_T;T;;156
2000-W01;CH011;_T;F;;78
2000-W01;CH011;_T;M;;78
2000-W01;CH011;Y0T4;T;;1
2000-W01;CH011;Y0T4;M;;1
2000-W01;CH011;Y15T19;T;;1
2000-W01;CH011;Y15T19;M;;1
2000-W01;CH011;Y30T34;T;;2
2000-W01;CH011;Y30T34;F;;1
2000-W01;CH011;Y30T34;M;;1
2000-W01;CH011;Y35T39;T;;2
2000-W01;CH011;Y35T39;F;;1
2000-W01;CH011;Y35T39;M;;1
2000-W01;CH011;Y40T44;T;;4
2000-W01;CH011;Y40T44;F;;1
2000-W01;CH011;Y40T44;M;;3
2000-W01;CH011;Y45T49;T;;2
2000-W01;CH011;Y45T49;M;;2
2000-W01;CH011;Y50T54;T;;1
2000-W01;CH011;Y50T54;M;;1
2000-W01;CH011;Y55T59;T;;5
2000-W01;CH011;Y55T59;F;;1
2000-W01;CH011;Y55T59;M;;4
2000-W01;CH011;Y60T64;T;;5
2000-W01;CH011;Y60T64;F;;3
2000-W01;CH011;Y60T64;M;;2
2000-W01;CH011;Y65T69;T;;7
2000-W01;CH011;Y65T69;F;;3
2000-W01;CH011;Y65T69;M;;4
2000-W01;CH011;Y70T74;T;;13
2000-W01;CH011;Y70T74;F;;3
2000-W01;CH011;Y70T74;M;;10
2000-W01;CH011;Y75T79;T;;16
2000-W01;CH011;Y75T79;F;;6
2000-W01;CH011;Y75T79;M;;10
2000-W01;CH011;Y80T84;T;;23
2000-W01;CH011;Y80T84;F;;13
2000-W01;CH011;Y80T84;M;;10
2000-W01;CH011;Y85T89;T;;32
2000-W01;CH011;Y85T89;F;;21
2000-W01;CH011;Y85T89;M;;11
2000-W01;CH011;Y_GE90;T;;42
2000-W01;CH011;Y_GE90;F;;25
2000-W01;CH011;Y_GE90;M;;17
2000-W01;CH012;_T;T;;48
2000-W01;CH012;_T;F;;20
2000-W01;CH012;_T;M;;28
2000-W01;CH012;Y0T4;T;;1
2000-W01;CH012;Y0T4;F;;1
2000-W01;CH012;Y10T14;T;;1
2000-W01;CH012;Y10T14;M;;1
2000-W01;CH012;Y20T24;T;;1
2000-W01;CH012;Y20T24;M;;1
2000-W01;CH012;Y25T29;T;;1
2000-W01;CH012;Y25T29;M;;1
2000-W01;CH012;Y40T44;T;;1
