week,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,1,1
5,0,0,0,0,0,0,0,2,5
6,0,0,0,0,1,0,1,2,6
7,0,0,0,0,0,0,0,9,13
8,0,0,0,0,0,0,7,6,5
9,0,0,0,0,1,4,3,2,9
10,0,0,0,0,0,0,0,7,13
11,0,0,0,1,0,3,2,7,20
12,0,0,0,0,0,0,2,3,11
13,0,0,0,1,0,0,6,13,18
14,0,0,0,0,0,3,7,21,14
15,0,0,0,0,2,5,3,9,24
16,0,0,0,0,0,2,10,10,20
17,0,0,0,1,1,2,3,18,22
18,0,0,0,0,3,3,7,13,18
19,0,0,0,0,0,9,3,4,6
20,0,0,0,0,0,7,7,5,10
21,0,0,0,2,1,3,3,10,14
22,0,0,0,0,2,4,2,1,12
23,0,0,4,2,5,4,5,6,4
24,0,0,0,0,0,4,2,3,4
25,0,0,0,0,0,0,5,2,0
26,0,0,1,0,2,1,2,0,4
27,0,0,0,0,0,0,0,0,0
28,0,0,0,1,0,2,2,4,8
29,0,0,0,2,0,4,0,16,12
30,0,0,0,2,4,0,6,4,14
31,0,2,0,2,0,0,2,10,18
32,0,1,4,6,5,8,13,11,38
33,0,0,4,2,8,15,24,26,38
34,0,0,1,1,4,11,20,36,32
35,0,2,2,1,4,7,25,32,34
36,0,0,2,1,0,9,18,29,48
37,0,6,6,5,1,10,20,38,35
38,0,0,4,4,6,12,20,29,30
39,0,1,2,0,3,7,10,28,35
40,0,0,4,0,7,9,6,32,60
41,0,2,0,0,4,6,7,30,63
42,0,2,0,6,6,13,20,34,73
43,0,0,4,0,2,10,14,60,76
44,0,0,0,4,6,2,20,67,128
45,0,4,2,2,12,22,22,91,164
46,0,0,2,7,15,20,41,129,217
47,0,0,0,8,21,30,59,167,233
48,0,0,4,19,23,45,93,148,290
49,0,2,4,8,31,47,91,168,291
50,0,0,0,16,21,35,65,107,209
51,0,0,14,8,16,38,69,160,226
52,0,6,10,21,24,28,71,143,230
