week,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0
9,0,0,1,2,0,0,0,0,0
10,1,0,1,1,0,1,2,0,0
11,0,0,2,0,1,0,1,0,2
12,0,0,1,1,2,5,0,2,8
13,0,0,0,1,4,8,14,15,14
14,0,0,0,1,0,6,5,5,9
15,0,0,0,0,2,2,6,5,7
16,0,0,0,0,1,0,2,2,3
17,0,0,0,1,1,0,1,2,6
18,2,0,0,0,0,1,0,1,2
19,0,0,0,0,1,0,0,0,1
20,0,0,1,0,0,0,2,0,0
21,0,1,0,0,0,0,0,0,0
22,1,0,0,0,1,0,0,0,0
23,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,1,0
28,0,0,0,0,0,0,0,0,0
29,0,0,1,0,0,0,1,1,1
30,0,0,0,0,0,2,1,2,1
31,0,0,2,0,0,1,3,0,0
32,0,0,1,0,0,0,0,0,0
33,0,0,0,0,0,0,2,0,0
34,1,0,0,0,1,1,2,0,0
35,0,0,0,0,0,0,0,0,0
36,0,0,1,0,0,0,1,0,0
37,0,0,0,0,0,0,3,3,0
38,0,0,0,0,0,0,2,1,1
39,0,0,0,0,0,1,0,6,0
40,0,0,0,0,1,1,3,0,2
41,0,0,0,0,0,0,2,6,4
42,1,0,0,2,2,0,2,4,9
43,1,0,0,0,1,0,11,12,23
44,3,1,3,0,3,14,15,20,25
45,1,1,2,2,5,15,27,21,16
46,1,1,1,1,4,15,16,23,23
47,0,0,1,4,3,17,23,19,31
48,3,0,1,3,1,12,23,21,37
49,2,1,1,3,5,9,13,15,25
50,1,1,0,4,6,5,23,25,35
51,4,0,0,1,5,4,21,31,30
52,3,0,1,0,4,4,13,26,22
53,1,0,3,0,1,3,7,17,22
