week,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,1,0,0,0
10,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,1,0
12,0,0,0,1,1,0,3,3,0
13,0,0,0,0,0,5,2,8,4
14,0,0,1,1,1,3,4,4,4
15,0,1,2,1,1,1,2,7,0
16,0,0,0,0,0,2,2,1,0
17,0,0,0,0,0,0,1,0,1
18,0,0,0,0,0,0,1,0,0
19,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0
26,0,0,1,0,0,0,0,0,0
27,0,0,0,0,0,0,0,1,0
28,0,0,0,0,0,1,0,1,0
29,0,0,0,0,0,1,0,1,0
30,0,0,0,0,0,0,0,0,1
31,0,0,0,0,0,0,1,0,1
32,0,0,0,0,0,0,1,0,0
33,0,0,0,0,0,0,1,0,0
34,0,0,0,0,0,0,0,0,0
35,0,0,0,0,1,1,1,0,0
36,0,0,0,0,0,0,0,1,0
37,0,1,0,0,0,0,1,0,0
38,0,0,0,0,0,0,0,2,0
39,0,0,0,0,1,1,0,1,0
40,0,1,0,0,0,2,1,0,3
41,0,0,0,0,1,2,2,1,0
42,2,0,1,0,2,2,3,4,12
43,0,0,0,3,2,3,5,8,11
44,0,0,1,1,1,5,7,11,9
45,1,0,0,0,0,4,8,10,12
46,0,0,0,1,1,4,10,8,10
47,0,0,1,0,0,4,9,9,7
48,0,0,0,1,1,1,6,7,9
49,0,0,0,1,2,3,6,10,14
50,0,0,2,0,2,9,12,10,10
51,1,0,0,2,2,6,12,6,13
52,0,0,3,1,4,4,11,13,11
53,0,1,0,1,3,7,6,17,19
