week,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-
1,0,3,0,2,6,10,22,27,37
2,0,0,0,1,5,9,13,21,27
3,2,0,1,1,4,5,8,9,15
4,1,0,0,2,1,8,5,18,19
5,1,0,1,4,3,7,11,11,15
6,0,0,1,0,2,0,9,9,17
7,0,0,0,1,0,2,5,9,5
8,2,1,0,2,3,3,6,4,7
9,0,0,0,3,6,5,9,9,5
10,0,0,0,0,4,3,9,4,8
11,0,0,1,3,7,4,6,6,9
12,2,0,1,2,2,6,9,15,7
13,1,0,0,1,2,13,8,8,11
14,0,0,1,5,1,8,10,10,8
15,0,0,0,0,4,11,14,4,10
16,0,0,3,0,6,12,7,13,8
17,0,0,1,2,8,8,13,15,10
18,0,0,1,0,6,6,6,14,6
19,1,2,0,0,2,7,6,2,2
20,1,0,1,0,5,7,6,5,4
21,1,0,0,1,2,1,2,6,4
22,1,0,0,1,0,5,2,2,2
23,0,1,0,0,6,2,1,4,1
24,1,0,0,1,0,1,1,0,0
25,0,0,0,0,0,1,0,0,0
26,0,0,0,0,1,0,0,0,0
27,0,0,1,0,1,0,0,1,0
28,0,0,0,0,0,2,3,0,1
29,0,0,0,0,1,4,0,1,2
30,0,0,0,0,1,2,5,1,0
31,1,0,2,2,2,2,5,3,2
32,2,1,4,7,8,15,8,4,14
33,2,1,2,9,12,11,11,10,7
34,2,0,3,6,8,12,9,14,9
35,2,1,1,5,5,10,14,10,9
36,4,1,2,4,12,7,5,8,4
37,1,0,2,5,5,6,5,4,8
38,0,0,0,0,5,11,5,4,1
39,0,0,0,1,1,6,2,4,4
40,1,0,1,0,2,3,2,2,8
41,1,1,0,1,2,2,2,2,8
42,1,0,0,0,2,5,6,1,4
43,0,0,0,1,0,4,2,8,5
44,1,0,2,0,4,4,2,9,12
45,2,0,0,5,7,8,9,10,22
46,3,1,3,8,10,6,12,24,38
47,1,0,1,4,11,18,22,28,29
48,1,1,1,5,9,21,15,29,33
49,2,0,1,5,17,12,14,18,34
50,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0
