week,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-
1,1,0,0,1,4,7,11,19,8
2,0,0,0,0,5,5,11,13,12
3,0,0,0,0,4,6,9,5,9
4,0,1,0,0,1,7,8,9,10
5,0,0,1,2,4,5,6,7,6
6,0,0,0,0,1,3,3,4,3
7,0,0,0,0,2,3,4,5,4
8,0,0,0,0,0,4,5,7,5
9,0,0,0,0,1,3,1,2,4
10,0,0,0,0,0,0,2,5,0
11,1,0,1,1,0,3,7,6,3
12,0,0,0,2,7,4,10,7,8
13,2,0,0,3,2,7,4,6,4
14,1,0,0,1,4,2,1,4,3
15,0,0,0,3,2,5,4,5,1
16,1,0,1,1,3,1,6,7,5
17,2,0,0,2,1,7,4,2,5
18,0,0,0,0,7,7,2,2,1
19,1,0,0,0,3,0,3,1,2
20,0,1,0,1,3,3,0,3,5
21,0,0,2,2,2,1,2,2,1
22,0,0,0,2,1,2,2,1,1
23,0,0,2,1,1,1,1,0,5
24,0,0,0,2,1,0,1,0,0
25,0,0,0,2,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,1,0,0,0
28,0,0,0,0,1,0,1,0,1
29,0,0,0,1,0,0,0,0,1
30,0,0,0,0,1,1,1,0,0
31,0,0,1,1,2,5,3,1,1
32,4,0,0,4,7,5,3,3,2
33,1,1,1,1,3,8,8,3,0
34,0,0,1,2,6,6,7,2,4
35,0,0,0,3,0,1,4,2,1
36,0,0,1,3,4,2,4,3,1
37,0,1,0,3,3,3,5,1,2
38,0,0,1,1,2,3,2,0,3
39,0,0,1,3,0,4,4,0,2
40,0,0,0,0,2,1,1,4,7
41,0,0,0,0,0,0,1,4,2
42,0,0,0,2,1,0,0,2,1
43,0,0,1,0,1,1,5,2,6
44,0,0,0,1,1,0,4,2,3
45,0,0,1,1,4,3,3,4,2
46,0,0,0,2,2,1,9,5,3
47,0,0,0,3,4,2,9,9,6
48,0,0,1,2,5,5,11,10,7
49,0,0,2,1,1,4,6,7,3
50,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0
