week,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-
1,14,5,9,20,53,103,170,245,348
2,9,4,10,15,37,85,107,166,260
3,8,3,9,12,29,73,89,120,205
4,11,3,4,8,28,60,70,114,169
5,6,3,12,22,24,52,77,91,139
6,4,3,10,8,25,44,54,69,113
7,3,4,5,9,17,38,48,79,110
8,4,4,5,13,14,28,61,71,93
9,2,2,12,18,31,44,59,91,84
10,8,0,7,25,40,50,70,79,81
11,9,3,11,21,40,81,89,75,84
12,5,4,9,26,50,84,111,102,80
13,9,3,12,32,54,104,123,112,100
14,9,1,11,29,52,115,108,113,74
15,8,2,10,29,56,116,118,78,80
16,13,3,13,32,66,103,110,76,76
17,8,1,10,38,50,108,110,65,76
18,1,1,10,19,44,80,65,63,57
19,5,5,8,17,40,57,47,31,28
20,5,4,4,19,36,68,52,33,33
21,2,2,5,10,21,33,19,33,30
22,3,0,5,13,12,39,22,12,15
23,1,1,7,7,14,17,13,9,9
24,2,0,4,7,6,7,9,7,7
25,2,0,3,5,4,2,8,5,2
26,0,1,5,1,3,4,3,0,2
27,2,0,3,1,4,8,5,6,1
28,1,0,2,8,15,10,13,7,10
29,0,0,3,13,10,21,7,18,20
30,3,3,8,14,21,19,26,11,21
31,11,4,13,25,24,32,28,23,24
32,10,5,30,55,62,92,60,28,45
33,12,9,24,61,108,136,91,58,43
34,11,3,24,60,81,107,95,71,46
35,15,3,14,42,84,82,77,58,50
36,10,4,19,39,59,72,63,55,45
37,3,6,16,38,42,57,52,47,61
38,4,3,6,20,36,41,43,59,44
39,3,5,7,13,16,33,36,38,37
40,3,2,8,10,20,17,26,39,52
41,3,2,4,8,14,28,26,39,49
42,4,1,3,13,16,23,35,38,63
43,3,1,7,9,23,37,35,56,83
44,4,3,5,18,26,32,43,69,119
45,8,5,7,16,34,68,62,94,136
46,4,4,16,33,53,58,94,137,219
47,8,3,8,33,52,101,128,175,250
48,11,5,17,44,79,120,135,186,294
49,15,8,16,44,94,134,134,197,278
50,18,4,7,43,78,121,156,178,217
51,22,7,21,56,61,111,153,188,241
52,19,9,27,51,62,94,130,169,257
