week,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-
1,2,0,1,1,6,5,8,21,29
2,0,0,1,2,1,3,8,9,17
3,0,1,1,2,3,4,9,11,21
4,1,0,0,2,1,4,6,13,18
5,1,0,1,2,2,4,11,11,12
6,0,1,0,0,4,8,6,7,15
7,0,1,1,2,1,9,6,9,18
8,0,0,3,1,4,4,9,18,21
9,0,2,4,3,2,3,6,11,22
10,1,0,1,4,0,4,5,6,23
11,0,0,1,3,3,2,8,11,21
12,1,2,0,1,2,9,8,9,5
13,0,0,2,2,2,3,6,10,18
14,1,0,1,3,3,9,8,8,5
15,0,0,2,3,4,5,8,6,5
16,1,0,1,5,3,2,4,4,7
17,0,0,0,3,6,7,9,9,5
18,0,0,1,1,1,7,4,4,5
19,0,1,0,3,3,0,3,4,2
20,1,0,0,0,1,4,0,1,1
21,0,1,0,0,1,0,1,3,2
22,0,0,1,1,1,2,1,1,1
23,1,0,0,1,0,1,0,1,0
24,0,0,1,0,0,1,2,1,0
25,1,0,0,1,1,0,0,1,0
26,0,0,0,0,0,2,0,0,0
27,0,0,1,0,0,0,0,1,0
28,0,0,0,1,1,0,0,0,1
29,0,0,0,0,1,1,0,1,1
30,1,1,0,0,1,2,0,0,0
31,3,1,1,2,1,1,3,2,1
32,0,0,4,4,2,3,2,3,3
33,0,0,1,2,3,7,6,8,4
34,1,0,2,5,4,8,0,3,5
35,0,0,1,4,3,7,4,7,4
36,0,0,0,0,2,4,1,6,3
37,1,0,0,0,1,6,2,2,3
38,0,0,0,1,3,3,2,5,1
39,0,0,0,0,2,0,3,2,1
40,1,0,1,0,0,0,1,1,2
41,0,0,1,0,1,1,4,0,4
42,0,0,0,2,2,0,3,1,5
43,0,0,0,0,2,1,0,6,3
44,0,0,0,2,3,0,1,5,10
45,0,0,1,1,0,1,1,4,10
46,0,0,2,1,0,0,4,7,13
47,0,0,0,1,2,6,3,7,17
48,0,0,1,2,4,6,6,5,23
49,0,0,2,3,5,6,7,10,12
50,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0
