"id","title","value","link","group"
"1","Erteilung des Patents EP 3 172 319 B1","1","https://patentimages.storage.googleapis.com/1d/4e/4a/ac8914e765d645/EP3172319B1.pdf","The Pirbright Institute"
"2","Impfung","6","","Impfung"
"3","Vertraulichkeitsvereinbarung","1","https://dailyexpose.co.uk/2021/06/18/confidential-documents-reveal-moderna-sent-mrna-coronavirus-vaccine-candidate-to-university-researchers-weeks-before-emergence-of-covid-19/","National Institute of Allergy and Infectious Diseases"
"4","P(l)andemie","8","","P(l)andemie"
"5","niaid","1","","niaid"
"6","moderna","1","","moderna"
"7","Molecular Mechanism for Antibody-Dependent Enhancement of Coronavirus Entry","1","https://journals.asm.org/doi/10.1128/JVI.02015-19","Journal of Virology"
"8","Wissenschaft","5","","Wissenschaft"
"9","Explained - The Next Pandemic","1","https://www.imdb.com/title/tt11244670/","Netflix"
"10","Email to alert WHO to possible danger of COVID-19","1","https://www.cdc.gov.tw/En/Bulletin/Detail/PAD-lbwDHeN_bLa-viBOuw?typeid=158","Taiwan Centers for Disease Control"
"11","who","4","","who"
"12","wuhan","6","","wuhan"
"13","Kanzlerin wirbt für Multilateralismus","1","https://www.bundesregierung.de/breg-de/aktuelles/merkel-besucht-china-1667802","Die Bundesregierung"
"14","Johns Hopkins Center for Health Security to host Event 201, a global pandemic exercise","1","https://www.centerforhealthsecurity.org/news/center-news/2019/2019-08-21-event201.html","Johns Hopkins Center for Health Security"
"15","Gesundheit","2","","Gesundheit"
"16","jhchs","2","","jhchs"
"17","event 201","2","","event 201"
"18","BioNTech Announces Pricing of Initial Public Offering","1","https://investors.biontech.de/static-files/67160b09-e99b-480f-b84b-cbe8c074a89a","BioNTech"
"19","biontech","3","","biontech"
"20","geld","6","","geld"
"21","Peter Daszak of EcoHealth Alliance","1","","Vincent Racaniello - TWiV 615"
"22","virus-ursprung","1","","virus-ursprung"
"23","Kary Mullis starb im Alter von 74 Jahren an den Folgen einer Lungenentzündung.","1","https://de.wikipedia.org/wiki/Kary_Mullis","Ereignis"
"24","pcr-test","1","","pcr-test"
"25","Sommer-Militärweltspiele 2019","1","https://web.archive.org/web/20200126043946/https://en.wuhan2019mwg.cn/","Event"
"26","Media statement by the Wuhan Municipal Health Commission","1","https://promedmail.org/promed-post/?id=6864153%20#COVID19","World Health Organization"
"27","Investment Agreement","1","https://www.sec.gov/Archives/edgar/data/1776985/000119312519241112/d635330dex1036.htm","BioNTech"
"28","Banken geben sich keinen Stutz mehr","1","https://insideparadeplatz.ch/2019/11/25/banken-geben-sich-keinen-stutz-mehr/","In$ide Paradeplatz"
"29","Wirtschaft","1","","Wirtschaft"
"30","A World at Risk","1","https://apps.who.int/gpmb/annual_report.html","Global Preparedness Monitoring Board"
"31","BioNTech Announces New Collaboration to Develop HIV and Tuberculosis Programs","1","https://investors.biontech.de/news-releases/news-release-details/biontech-announces-new-collaboration-develop-hiv-and","BioNTech"
"32","Bill & Melinda Gates Foundation funds development of Pirbright’s Livestock Antibody Hub supporting animal and human health","1","https://www.pirbright.ac.uk/news/2019/11/bill-melinda-gates-foundation-funds-development-pirbright’s-livestock-antibody-hub","The Pirbright Institute"
"33","Repo-Zinssatz FED","1","https://tradingeconomics.com/united-states/repo-rate","Ereignis"
"34","Event 201 Model","1","https://centerforhealthsecurity.org/event201/","The Johns Hopkins Center for Health Security"
"35","First patient with Covid-like symptoms was recorded in Wuhan","1","https://edition.cnn.com/2021/05/23/politics/us-intelligence-report-wuhan-lab-researchers-coronavirus-origin/index.html","Ereignis"
