land,postleitzahl,ort,strasse,name,tel,mo,di,mi,do,fr,sa,so,url,besonderes,latitude,longitude
CH,3604,Thun,Talackerstrasse 53,Bio-Stadthofladen Thun,033 221 16 80,geschlossen,08:00-12:00 13:30-18:30,08:00-12:00 13:30-18:30,08:00-12:00 13:30-18:30,08:00-12:00 13:30-18:30,07:30 - 14:00,geschlossen,https://www.bio-stadthofladen.ch/,vor allg. Feiertagen 8.00-14.00,46.74448,7.61539
CH,8051,Zürich,Probsteistrasse 61,Hofladen,044 322 20 22,14:00–17:00,14:00–17:00,14:00–17:00,geschlossen,14:00–17:00,13:00–16:00,geschlossen,,Automat,47.39737,8.58185
